exposure_scenario_id,route,dose_level,daily_dose_unit,duration_days,total_external_load,dose_factor,duration_factor,exposure_pressure_score,exposure_pressure_class,gut_input_fraction,fecal_elimination_bias,normalized_gut_input_rate,host_scenario_id,gut_status,diet_state,mucus_thickness_factor,epithelial_barrier_integrity,barrier_impairment,m_cell_uptake_factor,peyer_patch_uptake_factor,lymph_flow_factor_adjusted,hydrophobic_transport_factor,macrophage_sensitivity,cytokine_sensitivity,clearance_factor,clearance_inverse,host_susceptibility_score,host_adjusted_exposure_pressure,route_description
EXP0032,oral,medium,5.0,90,450.0,0.5,0.764211370032278,0.6188951165145251,high,1.0,0.85,5.0,HOST_NORMAL_HIGH_FAT,normal,high-fat,1.0,1.0,0.0,0.5,0.45,1.2,1.15,0.4,0.35,1.0,0.0,0.3025,0.47482255825726255,Oral intake route; microplastic particles first enter the gut lumen.
EXP0033,oral,medium,5.0,90,450.0,0.5,0.764211370032278,0.6188951165145251,high,1.0,0.85,5.0,HOST_INFLAMED_NORMAL,inflamed,normal,1.2,0.7,0.3,0.75,0.7,1.2,1.0,0.7,0.75,0.7,0.3,0.5975,0.5790725582572626,Oral intake route; microplastic particles first enter the gut lumen.
EXP0034,oral,medium,5.0,90,450.0,0.5,0.764211370032278,0.6188951165145251,high,1.0,0.85,5.0,HOST_INFLAMED_HIGH_FAT,inflamed,high-fat,1.2,0.7,0.3,0.75,0.7,1.44,1.15,0.7,0.75,0.7,0.3,0.5975,0.6030725582572625,Oral intake route; microplastic particles first enter the gut lumen.
EXP0035,oral,medium,5.0,90,450.0,0.5,0.764211370032278,0.6188951165145251,high,1.0,0.85,5.0,HOST_BARRIER_IMPAIRED_NORMAL,barrier-impaired,normal,0.8,0.5,0.5,0.85,0.8,1.1,1.0,0.8,0.85,0.6,0.4,0.7225000000000001,0.6278225582572625,Oral intake route; microplastic particles first enter the gut lumen.
EXP0036,oral,medium,5.0,90,450.0,0.5,0.764211370032278,0.6188951165145251,high,1.0,0.85,5.0,HOST_BARRIER_IMPAIRED_HIGH_FAT,barrier-impaired,high-fat,0.8,0.5,0.5,0.85,0.8,1.32,1.15,0.8,0.85,0.6,0.4,0.7225000000000001,0.6498225582572625,Oral intake route; microplastic particles first enter the gut lumen.
EXP0037,oral,medium,5.0,180,900.0,0.5,0.8807081073203332,0.67131864829415,high,1.0,0.85,5.0,HOST_NORMAL_NORMAL,normal,normal,1.0,1.0,0.0,0.5,0.45,1.0,1.0,0.4,0.35,1.0,0.0,0.3025,0.481034324147075,Oral intake route; microplastic particles first enter the gut lumen.
EXP0038,oral,medium,5.0,180,900.0,0.5,0.8807081073203332,0.67131864829415,high,1.0,0.85,5.0,HOST_NORMAL_HIGH_FAT,normal,high-fat,1.0,1.0,0.0,0.5,0.45,1.2,1.15,0.4,0.35,1.0,0.0,0.3025,0.5010343241470749,Oral intake route; microplastic particles first enter the gut lumen.
EXP0039,oral,medium,5.0,180,900.0,0.5,0.8807081073203332,0.67131864829415,high,1.0,0.85,5.0,HOST_INFLAMED_NORMAL,inflamed,normal,1.2,0.7,0.3,0.75,0.7,1.2,1.0,0.7,0.75,0.7,0.3,0.5975,0.6052843241470749,Oral intake route; microplastic particles first enter the gut lumen.
EXP0040,oral,medium,5.0,180,900.0,0.5,0.8807081073203332,0.67131864829415,high,1.0,0.85,5.0,HOST_INFLAMED_HIGH_FAT,inflamed,high-fat,1.2,0.7,0.3,0.75,0.7,1.44,1.15,0.7,0.75,0.7,0.3,0.5975,0.6292843241470749,Oral intake route; microplastic particles first enter the gut lumen.
EXP0041,oral,medium,5.0,180,900.0,0.5,0.8807081073203332,0.67131864829415,high,1.0,0.85,5.0,HOST_BARRIER_IMPAIRED_NORMAL,barrier-impaired,normal,0.8,0.5,0.5,0.85,0.8,1.1,1.0,0.8,0.85,0.6,0.4,0.7225000000000001,0.654034324147075,Oral intake route; microplastic particles first enter the gut lumen.
EXP0042,oral,medium,5.0,180,900.0,0.5,0.8807081073203332,0.67131864829415,high,1.0,0.85,5.0,HOST_BARRIER_IMPAIRED_HIGH_FAT,barrier-impaired,high-fat,0.8,0.5,0.5,0.85,0.8,1.32,1.15,0.8,0.85,0.6,0.4,0.7225000000000001,0.676034324147075,Oral intake route; microplastic particles first enter the gut lumen.
EXP0043,oral,medium,5.0,365,1825.0,0.5,1.0,0.7250000000000001,high,1.0,0.85,5.0,HOST_NORMAL_NORMAL,normal,normal,1.0,1.0,0.0,0.5,0.45,1.0,1.0,0.4,0.35,1.0,0.0,0.3025,0.5078750000000001,Oral intake route; microplastic particles first enter the gut lumen.
EXP0044,oral,medium,5.0,365,1825.0,0.5,1.0,0.7250000000000001,high,1.0,0.85,5.0,HOST_NORMAL_HIGH_FAT,normal,high-fat,1.0,1.0,0.0,0.5,0.45,1.2,1.15,0.4,0.35,1.0,0.0,0.3025,0.5278750000000001,Oral intake route; microplastic particles first enter the gut lumen.
EXP0045,oral,medium,5.0,365,1825.0,0.5,1.0,0.7250000000000001,high,1.0,0.85,5.0,HOST_INFLAMED_NORMAL,inflamed,normal,1.2,0.7,0.3,0.75,0.7,1.2,1.0,0.7,0.75,0.7,0.3,0.5975,0.6321249999999999,Oral intake route; microplastic particles first enter the gut lumen.
EXP0046,oral,medium,5.0,365,1825.0,0.5,1.0,0.7250000000000001,high,1.0,0.85,5.0,HOST_INFLAMED_HIGH_FAT,inflamed,high-fat,1.2,0.7,0.3,0.75,0.7,1.44,1.15,0.7,0.75,0.7,0.3,0.5975,0.656125,Oral intake route; microplastic particles first enter the gut lumen.
EXP0047,oral,medium,5.0,365,1825.0,0.5,1.0,0.7250000000000001,high,1.0,0.85,5.0,HOST_BARRIER_IMPAIRED_NORMAL,barrier-impaired,normal,0.8,0.5,0.5,0.85,0.8,1.1,1.0,0.8,0.85,0.6,0.4,0.7225000000000001,0.680875,Oral intake route; microplastic particles first enter the gut lumen.
EXP0048,oral,medium,5.0,365,1825.0,0.5,1.0,0.7250000000000001,high,1.0,0.85,5.0,HOST_BARRIER_IMPAIRED_HIGH_FAT,barrier-impaired,high-fat,0.8,0.5,0.5,0.85,0.8,1.32,1.15,0.8,0.85,0.6,0.4,0.7225000000000001,0.702875,Oral intake route; microplastic particles first enter the gut lumen.
EXP0049,oral,high,10.0,30,300.0,1.0,0.5817720685872803,0.8117974308642761,very high,1.0,0.85,10.0,HOST_NORMAL_NORMAL,normal,normal,1.0,1.0,0.0,0.5,0.45,1.0,1.0,0.4,0.35,1.0,0.0,0.3025,0.5512737154321381,Oral intake route; microplastic particles first enter the gut lumen.
EXP0050,oral,high,10.0,30,300.0,1.0,0.5817720685872803,0.8117974308642761,very high,1.0,0.85,10.0,HOST_NORMAL_HIGH_FAT,normal,high-fat,1.0,1.0,0.0,0.5,0.45,1.2,1.15,0.4,0.35,1.0,0.0,0.3025,0.5712737154321381,Oral intake route; microplastic particles first enter the gut lumen.
EXP0051,oral,high,10.0,30,300.0,1.0,0.5817720685872803,0.8117974308642761,very high,1.0,0.85,10.0,HOST_INFLAMED_NORMAL,inflamed,normal,1.2,0.7,0.3,0.75,0.7,1.2,1.0,0.7,0.75,0.7,0.3,0.5975,0.675523715432138,Oral intake route; microplastic particles first enter the gut lumen.
EXP0052,oral,high,10.0,30,300.0,1.0,0.5817720685872803,0.8117974308642761,very high,1.0,0.85,10.0,HOST_INFLAMED_HIGH_FAT,inflamed,high-fat,1.2,0.7,0.3,0.75,0.7,1.44,1.15,0.7,0.75,0.7,0.3,0.5975,0.699523715432138,Oral intake route; microplastic particles first enter the gut lumen.
EXP0053,oral,high,10.0,30,300.0,1.0,0.5817720685872803,0.8117974308642761,very high,1.0,0.85,10.0,HOST_BARRIER_IMPAIRED_NORMAL,barrier-impaired,normal,0.8,0.5,0.5,0.85,0.8,1.1,1.0,0.8,0.85,0.6,0.4,0.7225000000000001,0.724273715432138,Oral intake route; microplastic particles first enter the gut lumen.
EXP0054,oral,high,10.0,30,300.0,1.0,0.5817720685872803,0.8117974308642761,very high,1.0,0.85,10.0,HOST_BARRIER_IMPAIRED_HIGH_FAT,barrier-impaired,high-fat,0.8,0.5,0.5,0.85,0.8,1.32,1.15,0.8,0.85,0.6,0.4,0.7225000000000001,0.746273715432138,Oral intake route; microplastic particles first enter the gut lumen.
EXP0055,oral,high,10.0,90,900.0,1.0,0.764211370032278,0.8938951165145251,very high,1.0,0.85,10.0,HOST_NORMAL_NORMAL,normal,normal,1.0,1.0,0.0,0.5,0.45,1.0,1.0,0.4,0.35,1.0,0.0,0.3025,0.5923225582572627,Oral intake route; microplastic particles first enter the gut lumen.
EXP0056,oral,high,10.0,90,900.0,1.0,0.764211370032278,0.8938951165145251,very high,1.0,0.85,10.0,HOST_NORMAL_HIGH_FAT,normal,high-fat,1.0,1.0,0.0,0.5,0.45,1.2,1.15,0.4,0.35,1.0,0.0,0.3025,0.6123225582572625,Oral intake route; microplastic particles first enter the gut lumen.
EXP0057,oral,high,10.0,90,900.0,1.0,0.764211370032278,0.8938951165145251,very high,1.0,0.85,10.0,HOST_INFLAMED_NORMAL,inflamed,normal,1.2,0.7,0.3,0.75,0.7,1.2,1.0,0.7,0.75,0.7,0.3,0.5975,0.7165725582572625,Oral intake route; microplastic particles first enter the gut lumen.
EXP0058,oral,high,10.0,90,900.0,1.0,0.764211370032278,0.8938951165145251,very high,1.0,0.85,10.0,HOST_INFLAMED_HIGH_FAT,inflamed,high-fat,1.2,0.7,0.3,0.75,0.7,1.44,1.15,0.7,0.75,0.7,0.3,0.5975,0.7405725582572625,Oral intake route; microplastic particles first enter the gut lumen.
EXP0059,oral,high,10.0,90,900.0,1.0,0.764211370032278,0.8938951165145251,very high,1.0,0.85,10.0,HOST_BARRIER_IMPAIRED_NORMAL,barrier-impaired,normal,0.8,0.5,0.5,0.85,0.8,1.1,1.0,0.8,0.85,0.6,0.4,0.7225000000000001,0.7653225582572626,Oral intake route; microplastic particles first enter the gut lumen.
EXP0060,oral,high,10.0,90,900.0,1.0,0.764211370032278,0.8938951165145251,very high,1.0,0.85,10.0,HOST_BARRIER_IMPAIRED_HIGH_FAT,barrier-impaired,high-fat,0.8,0.5,0.5,0.85,0.8,1.32,1.15,0.8,0.85,0.6,0.4,0.7225000000000001,0.7873225582572626,Oral intake route; microplastic particles first enter the gut lumen.
EXP0061,oral,high,10.0,180,1800.0,1.0,0.8807081073203332,0.94631864829415,very high,1.0,0.85,10.0,HOST_NORMAL_NORMAL,normal,normal,1.0,1.0,0.0,0.5,0.45,1.0,1.0,0.4,0.35,1.0,0.0,0.3025,0.6185343241470751,Oral intake route; microplastic particles first enter the gut lumen.
EXP0062,oral,high,10.0,180,1800.0,1.0,0.8807081073203332,0.94631864829415,very high,1.0,0.85,10.0,HOST_NORMAL_HIGH_FAT,normal,high-fat,1.0,1.0,0.0,0.5,0.45,1.2,1.15,0.4,0.35,1.0,0.0,0.3025,0.6385343241470749,Oral intake route; microplastic particles first enter the gut lumen.
EXP0063,oral,high,10.0,180,1800.0,1.0,0.8807081073203332,0.94631864829415,very high,1.0,0.85,10.0,HOST_INFLAMED_NORMAL,inflamed,normal,1.2,0.7,0.3,0.75,0.7,1.2,1.0,0.7,0.75,0.7,0.3,0.5975,0.742784324147075,Oral intake route; microplastic particles first enter the gut lumen.
EXP0064,oral,high,10.0,180,1800.0,1.0,0.8807081073203332,0.94631864829415,very high,1.0,0.85,10.0,HOST_INFLAMED_HIGH_FAT,inflamed,high-fat,1.2,0.7,0.3,0.75,0.7,1.44,1.15,0.7,0.75,0.7,0.3,0.5975,0.766784324147075,Oral intake route; microplastic particles first enter the gut lumen.
EXP0065,oral,high,10.0,180,1800.0,1.0,0.8807081073203332,0.94631864829415,very high,1.0,0.85,10.0,HOST_BARRIER_IMPAIRED_NORMAL,barrier-impaired,normal,0.8,0.5,0.5,0.85,0.8,1.1,1.0,0.8,0.85,0.6,0.4,0.7225000000000001,0.791534324147075,Oral intake route; microplastic particles first enter the gut lumen.
EXP0066,oral,high,10.0,180,1800.0,1.0,0.8807081073203332,0.94631864829415,very high,1.0,0.85,10.0,HOST_BARRIER_IMPAIRED_HIGH_FAT,barrier-impaired,high-fat,0.8,0.5,0.5,0.85,0.8,1.32,1.15,0.8,0.85,0.6,0.4,0.7225000000000001,0.813534324147075,Oral intake route; microplastic particles first enter the gut lumen.
EXP0067,oral,high,10.0,365,3650.0,1.0,1.0,1.0,very high,1.0,0.85,10.0,HOST_NORMAL_NORMAL,normal,normal,1.0,1.0,0.0,0.5,0.45,1.0,1.0,0.4,0.35,1.0,0.0,0.3025,0.645375,Oral intake route; microplastic particles first enter the gut lumen.
EXP0068,oral,high,10.0,365,3650.0,1.0,1.0,1.0,very high,1.0,0.85,10.0,HOST_NORMAL_HIGH_FAT,normal,high-fat,1.0,1.0,0.0,0.5,0.45,1.2,1.15,0.4,0.35,1.0,0.0,0.3025,0.665375,Oral intake route; microplastic particles first enter the gut lumen.
EXP0069,oral,high,10.0,365,3650.0,1.0,1.0,1.0,very high,1.0,0.85,10.0,HOST_INFLAMED_NORMAL,inflamed,normal,1.2,0.7,0.3,0.75,0.7,1.2,1.0,0.7,0.75,0.7,0.3,0.5975,0.769625,Oral intake route; microplastic particles first enter the gut lumen.
EXP0070,oral,high,10.0,365,3650.0,1.0,1.0,1.0,very high,1.0,0.85,10.0,HOST_INFLAMED_HIGH_FAT,inflamed,high-fat,1.2,0.7,0.3,0.75,0.7,1.44,1.15,0.7,0.75,0.7,0.3,0.5975,0.793625,Oral intake route; microplastic particles first enter the gut lumen.
EXP0071,oral,high,10.0,365,3650.0,1.0,1.0,1.0,very high,1.0,0.85,10.0,HOST_BARRIER_IMPAIRED_NORMAL,barrier-impaired,normal,0.8,0.5,0.5,0.85,0.8,1.1,1.0,0.8,0.85,0.6,0.4,0.7225000000000001,0.818375,Oral intake route; microplastic particles first enter the gut lumen.
EXP0072,oral,high,10.0,365,3650.0,1.0,1.0,1.0,very high,1.0,0.85,10.0,HOST_BARRIER_IMPAIRED_HIGH_FAT,barrier-impaired,high-fat,0.8,0.5,0.5,0.85,0.8,1.32,1.15,0.8,0.85,0.6,0.4,0.7225000000000001,0.840375,Oral intake route; microplastic particles first enter the gut lumen.
