particle_id,polymer,size_um,shape,aging,charge,oxidation_score,corona_score,hydrophobicity_score,roughness_score,leachate_score,charge_score,shape_factor,shape_retention,size_class,reactive_surface_class,corona_potential_class
MP0115,PET,10.0,sphere,oxidized,neutral,1.0,0.65,0.55,0.7,0.7,0.3,1.0,0.3,larger microplastic,high,moderate
MP0116,PET,10.0,sphere,oxidized,negative,1.0,0.71,0.55,0.7,0.7,0.6,1.0,0.3,larger microplastic,high,high
MP0117,PET,10.0,sphere,oxidized,positive,1.0,0.75,0.55,0.7,0.7,0.8,1.0,0.3,larger microplastic,high,high
MP0118,PET,10.0,fragment,pristine,neutral,0.2,0.5900000000000001,0.55,0.33,0.63,0.3,1.25,0.6,larger microplastic,low,moderate
MP0119,PET,10.0,fragment,pristine,negative,0.2,0.6500000000000001,0.55,0.33,0.63,0.6,1.25,0.6,larger microplastic,low,high
MP0120,PET,10.0,fragment,pristine,positive,0.2,0.6900000000000001,0.55,0.33,0.63,0.8,1.25,0.6,larger microplastic,low,high
MP0121,PET,10.0,fragment,UV-aged,neutral,0.8,0.67,0.55,0.63,0.71,0.3,1.25,0.6,larger microplastic,high,high
MP0122,PET,10.0,fragment,UV-aged,negative,0.8,0.73,0.55,0.63,0.71,0.6,1.25,0.6,larger microplastic,high,high
MP0123,PET,10.0,fragment,UV-aged,positive,0.8,0.77,0.55,0.63,0.71,0.8,1.25,0.6,larger microplastic,high,high
MP0124,PET,10.0,fragment,oxidized,neutral,1.0,0.6900000000000001,0.55,0.7799999999999999,0.73,0.3,1.25,0.6,larger microplastic,high,high
MP0125,PET,10.0,fragment,oxidized,negative,1.0,0.75,0.55,0.7799999999999999,0.73,0.6,1.25,0.6,larger microplastic,high,high
MP0126,PET,10.0,fragment,oxidized,positive,1.0,0.79,0.55,0.7799999999999999,0.73,0.8,1.25,0.6,larger microplastic,high,high
MP0127,PET,10.0,fiber,pristine,neutral,0.2,0.5800000000000001,0.55,0.35,0.62,0.3,1.6,0.85,larger microplastic,low,moderate
MP0128,PET,10.0,fiber,pristine,negative,0.2,0.6400000000000001,0.55,0.35,0.62,0.6,1.6,0.85,larger microplastic,low,moderate
MP0129,PET,10.0,fiber,pristine,positive,0.2,0.68,0.55,0.35,0.62,0.8,1.6,0.85,larger microplastic,low,high
MP0130,PET,10.0,fiber,UV-aged,neutral,0.8,0.66,0.55,0.65,0.7,0.3,1.6,0.85,larger microplastic,high,high
MP0131,PET,10.0,fiber,UV-aged,negative,0.8,0.72,0.55,0.65,0.7,0.6,1.6,0.85,larger microplastic,high,high
MP0132,PET,10.0,fiber,UV-aged,positive,0.8,0.76,0.55,0.65,0.7,0.8,1.6,0.85,larger microplastic,high,high
MP0133,PET,10.0,fiber,oxidized,neutral,1.0,0.68,0.55,0.7999999999999999,0.72,0.3,1.6,0.85,larger microplastic,high,high
MP0134,PET,10.0,fiber,oxidized,negative,1.0,0.74,0.55,0.7999999999999999,0.72,0.6,1.6,0.85,larger microplastic,high,high
MP0135,PET,10.0,fiber,oxidized,positive,1.0,0.78,0.55,0.7999999999999999,0.72,0.8,1.6,0.85,larger microplastic,high,high
MP0136,PE,0.05,sphere,pristine,neutral,0.23,0.5700000000000001,0.85,0.274,0.41200000000000003,0.3,1.0,0.3,nano-scale,low,moderate
MP0137,PE,0.05,sphere,pristine,negative,0.23,0.63,0.85,0.274,0.41200000000000003,0.6,1.0,0.3,nano-scale,low,moderate
MP0138,PE,0.05,sphere,pristine,positive,0.23,0.67,0.85,0.274,0.41200000000000003,0.8,1.0,0.3,nano-scale,low,high
MP0139,PE,0.05,sphere,UV-aged,neutral,0.8300000000000001,0.65,0.85,0.5740000000000001,0.49200000000000005,0.3,1.0,0.3,nano-scale,high,moderate
MP0140,PE,0.05,sphere,UV-aged,negative,0.8300000000000001,0.7100000000000001,0.85,0.5740000000000001,0.49200000000000005,0.6,1.0,0.3,nano-scale,high,high
MP0141,PE,0.05,sphere,UV-aged,positive,0.8300000000000001,0.75,0.85,0.5740000000000001,0.49200000000000005,0.8,1.0,0.3,nano-scale,high,high
MP0142,PE,0.05,sphere,oxidized,neutral,1.0,0.67,0.85,0.724,0.512,0.3,1.0,0.3,nano-scale,high,high
MP0143,PE,0.05,sphere,oxidized,negative,1.0,0.7300000000000001,0.85,0.724,0.512,0.6,1.0,0.3,nano-scale,high,high
MP0144,PE,0.05,sphere,oxidized,positive,1.0,0.77,0.85,0.724,0.512,0.8,1.0,0.3,nano-scale,high,high
MP0145,PE,0.05,fragment,pristine,neutral,0.23,0.61,0.85,0.35400000000000004,0.44200000000000006,0.3,1.25,0.6,nano-scale,low,moderate
MP0146,PE,0.05,fragment,pristine,negative,0.23,0.67,0.85,0.35400000000000004,0.44200000000000006,0.6,1.25,0.6,nano-scale,low,high
MP0147,PE,0.05,fragment,pristine,positive,0.23,0.71,0.85,0.35400000000000004,0.44200000000000006,0.8,1.25,0.6,nano-scale,low,high
MP0148,PE,0.05,fragment,UV-aged,neutral,0.8300000000000001,0.6900000000000001,0.85,0.654,0.522,0.3,1.25,0.6,nano-scale,high,high
MP0149,PE,0.05,fragment,UV-aged,negative,0.8300000000000001,0.7500000000000001,0.85,0.654,0.522,0.6,1.25,0.6,nano-scale,high,high
MP0150,PE,0.05,fragment,UV-aged,positive,0.8300000000000001,0.79,0.85,0.654,0.522,0.8,1.25,0.6,nano-scale,high,high
MP0151,PE,0.05,fragment,oxidized,neutral,1.0,0.7100000000000001,0.85,0.8039999999999999,0.542,0.3,1.25,0.6,nano-scale,high,high
MP0152,PE,0.05,fragment,oxidized,negative,1.0,0.7700000000000001,0.85,0.8039999999999999,0.542,0.6,1.25,0.6,nano-scale,high,high
MP0153,PE,0.05,fragment,oxidized,positive,1.0,0.81,0.85,0.8039999999999999,0.542,0.8,1.25,0.6,nano-scale,high,high
MP0154,PE,0.05,fiber,pristine,neutral,0.23,0.6,0.85,0.374,0.43200000000000005,0.3,1.6,0.85,nano-scale,low,moderate
MP0155,PE,0.05,fiber,pristine,negative,0.23,0.66,0.85,0.374,0.43200000000000005,0.6,1.6,0.85,nano-scale,low,high
MP0156,PE,0.05,fiber,pristine,positive,0.23,0.7,0.85,0.374,0.43200000000000005,0.8,1.6,0.85,nano-scale,low,high
MP0157,PE,0.05,fiber,UV-aged,neutral,0.8300000000000001,0.68,0.85,0.674,0.512,0.3,1.6,0.85,nano-scale,high,high
MP0158,PE,0.05,fiber,UV-aged,negative,0.8300000000000001,0.7400000000000001,0.85,0.674,0.512,0.6,1.6,0.85,nano-scale,high,high
MP0159,PE,0.05,fiber,UV-aged,positive,0.8300000000000001,0.78,0.85,0.674,0.512,0.8,1.6,0.85,nano-scale,high,high
MP0160,PE,0.05,fiber,oxidized,neutral,1.0,0.7000000000000001,0.85,0.824,0.532,0.3,1.6,0.85,nano-scale,high,high
MP0161,PE,0.05,fiber,oxidized,negative,1.0,0.7600000000000001,0.85,0.824,0.532,0.6,1.6,0.85,nano-scale,high,high
MP0162,PE,0.05,fiber,oxidized,positive,1.0,0.8,0.85,0.824,0.532,0.8,1.6,0.85,nano-scale,high,high
MP0163,PE,0.1,sphere,pristine,neutral,0.23,0.5700000000000001,0.85,0.274,0.41200000000000003,0.3,1.0,0.3,nano-scale,low,moderate
MP0164,PE,0.1,sphere,pristine,negative,0.23,0.63,0.85,0.274,0.41200000000000003,0.6,1.0,0.3,nano-scale,low,moderate
MP0165,PE,0.1,sphere,pristine,positive,0.23,0.67,0.85,0.274,0.41200000000000003,0.8,1.0,0.3,nano-scale,low,high
MP0166,PE,0.1,sphere,UV-aged,neutral,0.8300000000000001,0.65,0.85,0.5740000000000001,0.49200000000000005,0.3,1.0,0.3,nano-scale,high,moderate
MP0167,PE,0.1,sphere,UV-aged,negative,0.8300000000000001,0.7100000000000001,0.85,0.5740000000000001,0.49200000000000005,0.6,1.0,0.3,nano-scale,high,high
MP0168,PE,0.1,sphere,UV-aged,positive,0.8300000000000001,0.75,0.85,0.5740000000000001,0.49200000000000005,0.8,1.0,0.3,nano-scale,high,high
MP0169,PE,0.1,sphere,oxidized,neutral,1.0,0.67,0.85,0.724,0.512,0.3,1.0,0.3,nano-scale,high,high
MP0170,PE,0.1,sphere,oxidized,negative,1.0,0.7300000000000001,0.85,0.724,0.512,0.6,1.0,0.3,nano-scale,high,high
MP0171,PE,0.1,sphere,oxidized,positive,1.0,0.77,0.85,0.724,0.512,0.8,1.0,0.3,nano-scale,high,high
MP0172,PE,0.1,fragment,pristine,neutral,0.23,0.61,0.85,0.35400000000000004,0.44200000000000006,0.3,1.25,0.6,nano-scale,low,moderate
MP0173,PE,0.1,fragment,pristine,negative,0.23,0.67,0.85,0.35400000000000004,0.44200000000000006,0.6,1.25,0.6,nano-scale,low,high
MP0174,PE,0.1,fragment,pristine,positive,0.23,0.71,0.85,0.35400000000000004,0.44200000000000006,0.8,1.25,0.6,nano-scale,low,high
MP0175,PE,0.1,fragment,UV-aged,neutral,0.8300000000000001,0.6900000000000001,0.85,0.654,0.522,0.3,1.25,0.6,nano-scale,high,high
MP0176,PE,0.1,fragment,UV-aged,negative,0.8300000000000001,0.7500000000000001,0.85,0.654,0.522,0.6,1.25,0.6,nano-scale,high,high
MP0177,PE,0.1,fragment,UV-aged,positive,0.8300000000000001,0.79,0.85,0.654,0.522,0.8,1.25,0.6,nano-scale,high,high
MP0178,PE,0.1,fragment,oxidized,neutral,1.0,0.7100000000000001,0.85,0.8039999999999999,0.542,0.3,1.25,0.6,nano-scale,high,high
MP0179,PE,0.1,fragment,oxidized,negative,1.0,0.7700000000000001,0.85,0.8039999999999999,0.542,0.6,1.25,0.6,nano-scale,high,high
MP0180,PE,0.1,fragment,oxidized,positive,1.0,0.81,0.85,0.8039999999999999,0.542,0.8,1.25,0.6,nano-scale,high,high
MP0181,PE,0.1,fiber,pristine,neutral,0.23,0.6,0.85,0.374,0.43200000000000005,0.3,1.6,0.85,nano-scale,low,moderate
MP0182,PE,0.1,fiber,pristine,negative,0.23,0.66,0.85,0.374,0.43200000000000005,0.6,1.6,0.85,nano-scale,low,high
MP0183,PE,0.1,fiber,pristine,positive,0.23,0.7,0.85,0.374,0.43200000000000005,0.8,1.6,0.85,nano-scale,low,high
MP0184,PE,0.1,fiber,UV-aged,neutral,0.8300000000000001,0.68,0.85,0.674,0.512,0.3,1.6,0.85,nano-scale,high,high
MP0185,PE,0.1,fiber,UV-aged,negative,0.8300000000000001,0.7400000000000001,0.85,0.674,0.512,0.6,1.6,0.85,nano-scale,high,high
MP0186,PE,0.1,fiber,UV-aged,positive,0.8300000000000001,0.78,0.85,0.674,0.512,0.8,1.6,0.85,nano-scale,high,high
MP0187,PE,0.1,fiber,oxidized,neutral,1.0,0.7000000000000001,0.85,0.824,0.532,0.3,1.6,0.85,nano-scale,high,high
MP0188,PE,0.1,fiber,oxidized,negative,1.0,0.7600000000000001,0.85,0.824,0.532,0.6,1.6,0.85,nano-scale,high,high
MP0189,PE,0.1,fiber,oxidized,positive,1.0,0.8,0.85,0.824,0.532,0.8,1.6,0.85,nano-scale,high,high
MP0190,PE,1.0,sphere,pristine,neutral,0.22,0.53,0.85,0.266,0.40800000000000003,0.3,1.0,0.3,submicron-to-small,low,moderate
