risk_rank,simulation_id,exposure_scenario_id,particle_id,polymer,size_um,size_class,shape,aging,charge,dose_level,daily_dose_unit,duration_days,gut_status,diet_state,particle_hazard_potential,interaction_risk_proxy,lymphatic_burden_index,macrophage_activation_score,ROS_score,cytokine_activation_score,systemic_inflammatory_spillover_score,immune_dysregulation_score,lymphatic_microplastic_immune_risk_index,final_risk_class,dominant_mechanistic_driver
11,SIM048114,EXP0072,MP0189,PE,0.1,nano-scale,fiber,oxidized,positive,high,10.0,365,barrier-impaired,high-fat,0.8144414529037053,0.7999622391689386,0.9994377456195724,0.9030623278465826,0.8943843932384291,0.9054119370209415,0.9110564169527329,0.9246853600989591,0.8645510273741811,severe,lymphatic burden dominated
12,SIM048222,EXP0072,MP0297,PP,0.05,nano-scale,fiber,oxidized,positive,high,10.0,365,barrier-impaired,high-fat,0.8143055399351886,0.799242164741417,0.9974097707178368,0.9027508128239117,0.8938492777154421,0.9050969741194376,0.91080659269627,0.9241645269506846,0.8635501696661705,severe,lymphatic burden dominated
13,SIM048249,EXP0072,MP0324,PP,0.1,nano-scale,fiber,oxidized,positive,high,10.0,365,barrier-impaired,high-fat,0.8122164529037053,0.7983940320817782,0.9975369050531256,0.9022593082128474,0.8931751156728694,0.9046855490793276,0.9105100440104258,0.923788356781728,0.8631222649894911,severe,lymphatic burden dominated
14,SIM048348,EXP0072,MP0423,PS,0.05,nano-scale,fragment,oxidized,positive,high,10.0,365,barrier-impaired,high-fat,0.8293256758995281,0.803938909106672,0.9879877787274324,0.9073832837084893,0.8972812382266396,0.9068705334077665,0.9115764282354359,0.9253078957888589,0.8625470676351237,severe,lymphatic burden dominated
15,SIM048375,EXP0072,MP0450,PS,0.1,nano-scale,fragment,oxidized,positive,high,10.0,365,barrier-impaired,high-fat,0.8275563796567434,0.8032833981086606,0.9885441271062748,0.9070254741150829,0.8968046819322971,0.9067733032994697,0.9113916651396083,0.9251565473383312,0.8623579608228253,severe,lymphatic burden dominated
16,SIM047682,EXP0071,MP0432,PS,0.05,nano-scale,fiber,oxidized,positive,high,10.0,365,barrier-impaired,normal,0.8499133944177174,0.8021563258053257,0.977353896377765,0.9166246135167768,0.8986794748167798,0.9025413855062402,0.8834707379134595,0.9215379338956358,0.8609165535850641,severe,lymphatic burden dominated
17,SIM047709,EXP0071,MP0459,PS,0.1,nano-scale,fiber,oxidized,positive,high,10.0,365,barrier-impaired,normal,0.8477290659560134,0.8013330431963644,0.9776147318443232,0.916137237978915,0.8980114036362022,0.9021355404956697,0.8831927869842655,0.9211825527655185,0.8605456352213409,severe,lymphatic burden dominated
18,SIM047952,EXP0072,MP0027,PET,0.05,nano-scale,fiber,oxidized,positive,high,10.0,365,barrier-impaired,high-fat,0.8113023729231443,0.8023935735353965,0.9748280896665222,0.9073216280951033,0.8912834004819878,0.9002723778258908,0.9063597077259293,0.9196554086265678,0.8599655552154287,severe,lymphatic burden dominated
19,SIM048353,EXP0072,MP0428,PS,0.05,nano-scale,fiber,UV-aged,negative,high,10.0,365,barrier-impaired,high-fat,0.7778851770062052,0.7929950835222426,0.9934154305158358,0.9014408781012958,0.884632804671256,0.901373426746754,0.908490492431655,0.919952394841784,0.8599213151179401,severe,lymphatic burden dominated
20,SIM047979,EXP0072,MP0054,PET,0.1,nano-scale,fiber,oxidized,positive,high,10.0,365,barrier-impaired,high-fat,0.8091496316238465,0.8015474966156142,0.9755304658058012,0.9068783219458727,0.8906976057084437,0.9001355879101438,0.9061660986110295,0.9194722231032282,0.8597034927876841,severe,lymphatic burden dominated
21,SIM048491,EXP0072,MP0566,PVC,0.05,nano-scale,fiber,oxidized,negative,high,10.0,365,barrier-impaired,high-fat,0.8047436060554244,0.7967619877776173,0.9853634484449773,0.9025601848247449,0.8895478117570061,0.9016307616454426,0.9090345582688186,0.9205261560096596,0.8596389361132066,severe,lymphatic burden dominated
22,SIM048355,EXP0072,MP0430,PS,0.05,nano-scale,fiber,oxidized,neutral,high,10.0,365,barrier-impaired,high-fat,0.7861414213452105,0.7914704355228255,0.9953257482845264,0.8981093545689192,0.8854981426362161,0.900959073836168,0.9084935469241263,0.9196950261416386,0.8596154663140717,severe,lymphatic burden dominated
23,SIM048380,EXP0072,MP0455,PS,0.1,nano-scale,fiber,UV-aged,negative,high,10.0,365,barrier-impaired,high-fat,0.7757387722475753,0.792126169478754,0.9935760039529752,0.9009394218891096,0.883946077802826,0.900953637304638,0.9081870321460722,0.9195723406909047,0.8594897494762145,severe,lymphatic burden dominated
24,SIM048518,EXP0072,MP0593,PVC,0.1,nano-scale,fiber,oxidized,negative,high,10.0,365,barrier-impaired,high-fat,0.8026162493136665,0.7959092683771541,0.9859082644980132,0.9021035815050871,0.8889384429294737,0.9014351586366637,0.9087800648734387,0.9202905048386719,0.8593268662367521,severe,lymphatic burden dominated
25,SIM048382,EXP0072,MP0457,PS,0.1,nano-scale,fiber,oxidized,neutral,high,10.0,365,barrier-impaired,high-fat,0.78402042677393,0.7906100404241978,0.9955071919704972,0.897615729396768,0.8848232602491082,0.9005456568985193,0.9081935051340158,0.9193237553231212,0.8591922844215264,severe,lymphatic burden dominated
26,SIM048086,EXP0072,MP0161,PE,0.05,nano-scale,fiber,oxidized,negative,high,10.0,365,barrier-impaired,high-fat,0.7910218854977893,0.789858403786938,1.0,0.8948207960964333,0.8861880820149425,0.9006648750441124,0.9087549425107985,0.9197689971888513,0.8589001149001148,severe,lymphatic burden dominated
27,SIM048410,EXP0072,MP0485,PS,1.0,submicron-to-small,fiber,oxidized,negative,high,10.0,365,barrier-impaired,high-fat,0.7919949138656114,0.7909930098712318,0.9930550036332508,0.9002627877142672,0.8865090104669291,0.900965679763477,0.9071946064820658,0.919992588068188,0.8585088538195121,severe,lymphatic burden dominated
28,SIM048113,EXP0072,MP0188,PE,0.1,nano-scale,fiber,oxidized,negative,high,10.0,365,barrier-impaired,high-fat,0.7889584411285665,0.7889983614757878,1.0,0.8943179365842573,0.8854947412734742,0.9002435783779162,0.9084533095978766,0.919368476155549,0.8584342741396461,severe,lymphatic burden dominated
29,SIM048221,EXP0072,MP0296,PP,0.05,nano-scale,fiber,oxidized,negative,high,10.0,365,barrier-impaired,high-fat,0.7887968854977891,0.7882905992601219,0.9983205940835976,0.894040007050003,0.8850187501682436,0.8999560706432397,0.9082121898000589,0.9189165848129106,0.8575169823658095,severe,lymphatic burden dominated
30,SIM048248,EXP0072,MP0323,PP,0.1,nano-scale,fiber,oxidized,negative,high,10.0,365,barrier-impaired,high-fat,0.7867334411285665,0.7874285652724919,0.9984277468027788,0.8935474317701771,0.8843442640977666,0.8995427927585424,0.90791164845896,0.9185372771157961,0.8570715085744438,severe,lymphatic burden dominated
31,SIM048084,EXP0072,MP0159,PE,0.05,nano-scale,fiber,UV-aged,positive,high,10.0,365,barrier-impaired,high-fat,0.7700112070747386,0.7859028664981426,0.99926421864929,0.8938678600106202,0.8810359397665595,0.8985645887350588,0.9074647171004799,0.9175462423393752,0.8563330924927407,severe,lymphatic burden dominated
32,SIM048347,EXP0072,MP0422,PS,0.05,nano-scale,fragment,oxidized,negative,high,10.0,365,barrier-impaired,high-fat,0.8038105980424504,0.7930422687329176,0.9877612204692328,0.898569640726091,0.8882563414289653,0.9010337745801473,0.9088569907662349,0.9196358041430095,0.8562260004526833,severe,lymphatic burden dominated
33,SIM048374,EXP0072,MP0449,PS,0.1,nano-scale,fragment,oxidized,negative,high,10.0,365,barrier-impaired,high-fat,0.8020623553643602,0.7923747654694995,0.9882669357663192,0.8982074040732696,0.8877732323822989,0.9009102471432825,0.9086638455022504,0.9194676601198055,0.8560115001165784,severe,lymphatic burden dominated
34,SIM048111,EXP0072,MP0186,PE,0.1,nano-scale,fiber,UV-aged,positive,high,10.0,365,barrier-impaired,high-fat,0.7679349283681511,0.7850269058523591,0.999347640177478,0.8933679275889196,0.8803510056311926,0.8981448937246453,0.9071593345372515,0.9171582426402404,0.8558731433331278,severe,lymphatic burden dominated
35,SIM048489,EXP0072,MP0564,PVC,0.05,nano-scale,fiber,UV-aged,positive,high,10.0,365,barrier-impaired,high-fat,0.7837329838879331,0.7928178143623958,0.9786859011207404,0.9010155401514419,0.8833286349651883,0.8967713813314829,0.904332364270316,0.9159246884403605,0.8553549771285816,severe,lymphatic burden dominated
36,SIM048408,EXP0072,MP0483,PS,1.0,submicron-to-small,fiber,UV-aged,positive,high,10.0,365,barrier-impaired,high-fat,0.7692394924031027,0.7864061870108175,0.9912615187961676,0.8988722811960418,0.8806357913817511,0.898501531757158,0.9057112611179466,0.9172764214334301,0.8553405349029487,severe,lymphatic burden dominated
37,SIM048516,EXP0072,MP0591,PVC,0.1,nano-scale,fiber,UV-aged,positive,high,10.0,365,barrier-impaired,high-fat,0.7815929220624803,0.7919492876057898,0.9792034595398724,0.9005508398638818,0.8827078063351165,0.8965643441963904,0.9040290752034986,0.9156715395395172,0.8550234070312683,severe,lymphatic burden dominated
38,SIM048546,EXP0072,MP0621,PVC,1.0,submicron-to-small,fiber,oxidized,positive,high,10.0,365,barrier-impaired,high-fat,0.7978878166606986,0.7908170891447229,0.9819962971898508,0.9002117458931232,0.88587695004825,0.898176511511099,0.9041618442028211,0.9173240019685461,0.8549711610507993,severe,lymphatic burden dominated
39,SIM048219,EXP0072,MP0294,PP,0.05,nano-scale,fiber,UV-aged,positive,high,10.0,365,barrier-impaired,high-fat,0.7677862070747385,0.7843343854286285,0.9972831327874988,0.8930567565519595,0.8798121585077359,0.8978318000227357,0.9069169935460475,0.9166330584485795,0.8548876940064554,severe,lymphatic burden dominated
40,SIM048141,EXP0072,MP0216,PE,1.0,submicron-to-small,fiber,oxidized,positive,high,10.0,365,barrier-impaired,high-fat,0.7846240380924281,0.7837957028663974,0.998220988963486,0.8926759682439622,0.882889880571533,0.8981350839298423,0.9061365286186962,0.9174943467818919,0.8546478057663007,severe,lymphatic burden dominated
41,SIM047681,EXP0071,MP0431,PS,0.05,nano-scale,fiber,oxidized,negative,high,10.0,365,barrier-impaired,normal,0.8244045716367447,0.7912536978481876,0.9771246511038169,0.9078103661211492,0.889654328388406,0.897321363595451,0.8784457872984625,0.9157047949511018,0.8545670637047703,severe,lymphatic burden dominated
42,SIM048246,EXP0072,MP0321,PP,0.1,nano-scale,fiber,UV-aged,positive,high,10.0,365,barrier-impaired,high-fat,0.7657099283681513,0.7834564114435483,0.9973852890248516,0.8925582618733302,0.8791301590939316,0.8974131339169513,0.906611299008404,0.9162484902668139,0.8544300009784607,severe,lymphatic burden dominated
43,SIM047708,EXP0071,MP0458,PS,0.1,nano-scale,fiber,oxidized,negative,high,10.0,365,barrier-impaired,normal,0.8222455001793612,0.7904153837355458,0.977344206007016,0.9073194862300106,0.8889817591128063,0.8969116871579924,0.8781229833364766,0.9153357311153922,0.8541713621175723,severe,lymphatic burden dominated
44,SIM048402,EXP0072,MP0477,PS,1.0,submicron-to-small,fragment,oxidized,positive,high,10.0,365,barrier-impaired,high-fat,0.7998017962974382,0.789037086882601,0.9875050330169874,0.8973890914581472,0.8862657310110432,0.8993331295764164,0.9069291266234529,0.9183024254983997,0.8536540203804489,severe,lymphatic burden dominated
45,SIM048276,EXP0072,MP0351,PP,1.0,submicron-to-small,fiber,oxidized,positive,high,10.0,365,barrier-impaired,high-fat,0.7823990380924283,0.7822058486397486,0.9964769090294237,0.8918839397892749,0.8817041157011695,0.8974162295126953,0.9055860955490524,0.9166252563925201,0.8532341592478909,severe,lymphatic burden dominated
46,SIM047951,EXP0072,MP0026,PET,0.05,nano-scale,fiber,oxidized,negative,high,10.0,365,barrier-impaired,high-fat,0.7857936060554244,0.791463934116535,0.973215841335393,0.8983632431428206,0.8820034572673873,0.8942516074338146,0.9009307447650005,0.9132779612336798,0.8531903576182553,severe,lymphatic burden dominated
47,SIM048078,EXP0072,MP0153,PE,0.05,nano-scale,fragment,oxidized,positive,high,10.0,365,barrier-impaired,high-fat,0.7959192814162508,0.7859959247851088,0.9949392019365773,0.8911368072078379,0.8849044426805024,0.8993336775379169,0.9080647923838044,0.9178308682822042,0.8531067420838716,severe,lymphatic burden dominated
48,SIM047978,EXP0072,MP0053,PET,0.1,nano-scale,fiber,oxidized,negative,high,10.0,365,barrier-impaired,high-fat,0.7836662493136667,0.7906031249851573,0.9738315976316342,0.8979119830640837,0.8814050996747769,0.8940808525801525,0.9006842260741745,0.9130629375616213,0.8528900888166786,severe,lymphatic burden dominated
49,SIM047412,EXP0071,MP0162,PE,0.05,nano-scale,fiber,oxidized,positive,high,10.0,365,barrier-impaired,normal,0.8165305399351886,0.7839170788382944,0.9900639479697628,0.9008934958286847,0.8872806280103568,0.8950179047511175,0.8901411898923134,0.9165860430585774,0.8528724727593111,severe,lymphatic burden dominated
50,SIM048105,EXP0072,MP0180,PE,0.1,nano-scale,fragment,oxidized,positive,high,10.0,365,barrier-impaired,high-fat,0.7942292915226372,0.78532230874521,0.9950590670532836,0.8907436041281425,0.8843648494936918,0.8990049939165591,0.9078289367124569,0.9175320643479962,0.8527738543910437,severe,lymphatic burden dominated
51,SIM048345,EXP0072,MP0420,PS,0.05,nano-scale,fragment,UV-aged,positive,high,10.0,365,barrier-impaired,high-fat,0.7828031334045691,0.7891116915488531,0.9826185673033084,0.8971819126369608,0.8823171752009129,0.8963498206117412,0.9070564447128214,0.9157918328154104,0.8524177556616178,severe,lymphatic burden dominated
52,SIM047439,EXP0071,MP0189,PE,0.1,nano-scale,fiber,oxidized,positive,high,10.0,365,barrier-impaired,normal,0.8144414529037053,0.783070938444301,0.99006777380715,0.9003900915349057,0.886584703384657,0.8945971847550065,0.8896266095316546,0.9161529084562342,0.8524100612056865,severe,lymphatic burden dominated
53,SIM048372,EXP0072,MP0447,PS,0.1,nano-scale,fragment,UV-aged,positive,high,10.0,365,barrier-impaired,high-fat,0.781044355373351,0.7884316215794775,0.9831200069360664,0.89681491159941,0.8818279798719005,0.8962184057789089,0.9068585096708786,0.9156182448932344,0.8521930245045345,severe,lymphatic burden dominated
54,SIM048213,EXP0072,MP0288,PP,0.05,nano-scale,fragment,oxidized,positive,high,10.0,365,barrier-impaired,high-fat,0.7936942814162509,0.7844303840453888,0.992925844205648,0.8903231129098313,0.8836754914589982,0.898598998199982,0.9075174468467724,0.916911685416128,0.8516570436511739,severe,lymphatic burden dominated
55,SIM048240,EXP0072,MP0315,PP,0.1,nano-scale,fragment,oxidized,positive,high,10.0,365,barrier-impaired,high-fat,0.7920042915226373,0.7837551681628391,0.9930615223570496,0.8899311448949004,0.883138396950806,0.8982712053249009,0.9072813579051651,0.9166157944366594,0.8513261382322567,severe,lymphatic burden dominated
56,SIM048352,EXP0072,MP0427,PS,0.05,nano-scale,fiber,UV-aged,neutral,high,10.0,365,barrier-impaired,high-fat,0.7396220603469355,0.776563687828011,0.9944656662376552,0.8883421728295442,0.8713292207661769,0.8936361856961932,0.9045926703104711,0.9120162524158097,0.8508037099086309,severe,lymphatic burden dominated
57,SIM047547,EXP0071,MP0297,PP,0.05,nano-scale,fiber,oxidized,positive,high,10.0,365,barrier-impaired,normal,0.8143055399351886,0.7824457879298229,0.9856378889183542,0.8998589289917894,0.8856378723248686,0.8941137409645249,0.8851622857471715,0.9145341577338931,0.8507818023878041,severe,lymphatic burden dominated
58,SIM048483,EXP0072,MP0558,PVC,0.05,nano-scale,fragment,oxidized,positive,high,10.0,365,barrier-impaired,high-fat,0.8096568330387597,0.7928675691209754,0.9698660415808018,0.8978280526528571,0.8863825274159364,0.8936307835521646,0.9066020635457356,0.9144993056497821,0.8507289506726706,severe,lymphatic burden dominated
59,SIM048510,EXP0072,MP0585,PVC,0.1,nano-scale,fragment,oxidized,positive,high,10.0,365,barrier-impaired,high-fat,0.8079138644788049,0.7922003294681892,0.9705319418191308,0.8974827010965659,0.8859296033989563,0.893557962241785,0.9065113541642766,0.9143902515681283,0.8505575023352746,severe,lymphatic burden dominated
60,SIM047679,EXP0071,MP0429,PS,0.05,nano-scale,fiber,UV-aged,positive,high,10.0,365,barrier-impaired,normal,0.8033939774459169,0.7873184003381463,0.9707132702840158,0.9062942633201791,0.8834849972890884,0.8929039126952529,0.8726783695800326,0.9111231844905238,0.8503537567956905,severe,lymphatic burden dominated
61,SIM048379,EXP0072,MP0454,PS,0.1,nano-scale,fiber,UV-aged,neutral,high,10.0,365,barrier-impaired,high-fat,0.7375138094239284,0.7756728921219399,0.9945841608384298,0.8878376295234771,0.8706395288166062,0.893212395499489,0.9042827125225488,0.9116288475060592,0.8503425375279906,severe,lymphatic burden dominated
62,SIM047574,EXP0071,MP0324,PP,0.1,nano-scale,fiber,oxidized,positive,high,10.0,365,barrier-impaired,normal,0.8122164529037053,0.781597655270184,0.9856811695820412,0.8993590390135651,0.8849486166214077,0.8936956914843583,0.8846820412239293,0.9141137714647796,0.8503276193482988,severe,lymphatic burden dominated
63,SIM048083,EXP0072,MP0158,PE,0.05,nano-scale,fiber,UV-aged,negative,high,10.0,365,barrier-impaired,high-fat,0.7445025752206054,0.7749247126761809,1.0,0.8851337992403373,0.8721681321903432,0.8934039016801926,0.9048595199231646,0.912258677063647,0.8502432465493102,severe,lymphatic burden dominated
64,SIM047736,EXP0071,MP0486,PS,1.0,submicron-to-small,fiber,oxidized,positive,high,10.0,365,barrier-impaired,normal,0.8173245789978065,0.7854889588161857,0.9742467705306572,0.9055154303685193,0.8860556591794843,0.894490998793908,0.8725845154831154,0.9126170790822584,0.8501963558394918,severe,lymphatic burden dominated
65,SIM047706,EXP0071,MP0456,PS,0.1,nano-scale,fiber,UV-aged,positive,high,10.0,365,barrier-impaired,normal,0.8012222647805068,0.7864644717645247,0.9712632534100634,0.9058311065978831,0.8828654092612499,0.8927168679736524,0.8723912673100302,0.9108821283886058,0.8500466996126713,severe,lymphatic burden dominated
66,SIM048110,EXP0072,MP0185,PE,0.1,nano-scale,fiber,UV-aged,negative,high,10.0,365,barrier-impaired,high-fat,0.7424519912827766,0.774035079964024,1.0,0.8846265097736706,0.8714715174533405,0.892977399215983,0.9045492126444437,0.911854828669018,0.8497529203350441,severe,lymphatic burden dominated
67,SIM048490,EXP0072,MP0565,PVC,0.05,nano-scale,fiber,oxidized,neutral,high,10.0,365,barrier-impaired,high-fat,0.7664805399351885,0.7803404464296572,0.983587167576772,0.8891809683337801,0.8757376087536164,0.8926559809794302,0.9023223979174015,0.9113024981981594,0.8496595281605287,severe,lymphatic burden dominated
68,SIM048085,EXP0072,MP0160,PE,0.05,nano-scale,fiber,oxidized,neutral,high,10.0,365,barrier-impaired,high-fat,0.7527589886307676,0.7733963228195512,1.0,0.8816104600681857,0.8726888412963432,0.892837813941507,0.904831264873593,0.9116165983620759,0.8495435209839703,severe,lymphatic burden dominated
69,SIM048517,EXP0072,MP0592,PVC,0.1,nano-scale,fiber,oxidized,neutral,high,10.0,365,barrier-impaired,high-fat,0.7643914529037051,0.7794662319906694,0.9839830173654992,0.88870916201489,0.8751056889796733,0.8924069686014957,0.9019506722545875,0.9110090071723694,0.8492843534594005,severe,lymphatic burden dominated
70,SIM048409,EXP0072,MP0484,PS,1.0,submicron-to-small,fiber,oxidized,neutral,high,10.0,365,barrier-impaired,high-fat,0.7540042764067755,0.7743125928709778,0.9936654561028296,0.8871080350498105,0.873139025829198,0.893168081171967,0.9032201725126237,0.9119604912266994,0.8490786244645049,severe,lymphatic burden dominated
71,SIM048112,EXP0072,MP0187,PE,0.1,nano-scale,fiber,oxidized,neutral,high,10.0,365,barrier-impaired,high-fat,0.7507342041658126,0.7725161556136594,1.0,0.8811091792253877,0.8720006156409341,0.8924162904562059,0.9045243400889752,0.9112175431648456,0.8490580101328487,severe,lymphatic burden dominated
72,SIM048407,EXP0072,MP0482,PS,1.0,submicron-to-small,fiber,UV-aged,negative,high,10.0,365,barrier-impaired,high-fat,0.7439108483299572,0.7752800144610732,0.9911253906410264,0.8900466224472601,0.8716230489377612,0.8932587352838041,0.9018022313295024,0.9116239619090334,0.848875662699447,severe,lymphatic burden dominated
73,SIM048218,EXP0072,MP0293,PP,0.05,nano-scale,fiber,UV-aged,negative,high,10.0,365,barrier-impaired,high-fat,0.7422775752206053,0.7733546146051157,0.9981373215802416,0.8843341865736375,0.8709653128745956,0.8926801048274589,0.9043131789085095,0.91136903192599,0.8488208118100008,severe,lymphatic burden dominated
74,SIM047817,EXP0071,MP0567,PVC,0.05,nano-scale,fiber,oxidized,positive,high,10.0,365,barrier-impaired,normal,0.8302523729231442,0.7912686993066195,0.9585081410506564,0.9070379405449893,0.8876922838181205,0.8909354333361058,0.865917645478882,0.909216601762667,0.8487096487073084,severe,lymphatic burden dominated
75,SIM047949,EXP0072,MP0024,PET,0.05,nano-scale,fiber,UV-aged,positive,high,10.0,365,barrier-impaired,high-fat,0.7647829838879332,0.7875170985925682,0.9658734084866648,0.8967224031071053,0.8756552833660872,0.8893241856280818,0.8947688806298717,0.9083133490270779,0.8486879139290807,severe,lymphatic burden dominated
76,SIM048488,EXP0072,MP0563,PVC,0.05,nano-scale,fiber,UV-aged,negative,high,10.0,365,barrier-impaired,high-fat,0.7582242394417085,0.7818667472899956,0.977057044418903,0.8920508604207426,0.874041051225541,0.8907402743987612,0.8988832053520271,0.909537046862539,0.8485582798984505,severe,lymphatic burden dominated
77,SIM048006,EXP0072,MP0081,PET,1.0,submicron-to-small,fiber,oxidized,positive,high,10.0,365,barrier-impaired,high-fat,0.7789378166606986,0.7854289393321213,0.9702398248471196,0.8960344190360612,0.8783834206942148,0.8910618117555894,0.8951058691014908,0.9100758932110186,0.8485235258835562,severe,lymphatic burden dominated
78,SIM047844,EXP0071,MP0594,PVC,0.1,nano-scale,fiber,oxidized,positive,high,10.0,365,barrier-impaired,normal,0.8280996316238466,0.7904306934125697,0.9592315230024544,0.9065984817122259,0.8871120240347935,0.8908139153361256,0.8657717734364994,0.9090492710759295,0.8484622286998155,severe,lymphatic burden dominated
79,SIM048220,EXP0072,MP0295,PP,0.05,nano-scale,fiber,oxidized,neutral,high,10.0,365,barrier-impaired,high-fat,0.7505339886307677,0.7718260975728098,0.9996491572308706,0.8809620034431289,0.8717581247607001,0.892233423608385,0.904308772458047,0.9110309168281737,0.8484303686318762,severe,lymphatic burden dominated
80,SIM048140,EXP0072,MP0215,PE,1.0,submicron-to-small,fiber,oxidized,negative,high,10.0,365,barrier-impaired,high-fat,0.7593022804161438,0.7726627790667288,0.998885836229142,0.8839300029572187,0.8740215367285841,0.8929548145921711,0.903487270076544,0.912190025083616,0.8484033107527745,severe,lymphatic burden dominated
81,SIM048245,EXP0072,MP0320,PP,0.1,nano-scale,fiber,UV-aged,negative,high,10.0,365,barrier-impaired,high-fat,0.7402269912827766,0.7724629746203945,0.9982186157877824,0.8838345921128452,0.8702828948872472,0.8922595748276483,0.9040035499274635,0.9109811948979316,0.8483455486572532,severe,lymphatic burden dominated
82,SIM047976,EXP0072,MP0051,PET,0.1,nano-scale,fiber,UV-aged,positive,high,10.0,365,barrier-impaired,high-fat,0.7626429220624804,0.7866403884270365,0.9663514085011562,0.896091883163095,0.8749775280291914,0.8890794162747849,0.8944999223018094,0.908006641396778,0.8483075729769519,severe,lymphatic burden dominated
83,SIM048515,EXP0072,MP0590,PVC,0.1,nano-scale,fiber,UV-aged,negative,high,10.0,365,barrier-impaired,high-fat,0.7561096134733339,0.7809836294555481,0.9773298965526358,0.8913672154593936,0.8733206813222246,0.8904200699777286,0.8985114213670505,0.9091495032197866,0.8481075208550372,severe,lymphatic burden dominated
84,SIM048247,EXP0072,MP0322,PP,0.1,nano-scale,fiber,oxidized,neutral,high,10.0,365,barrier-impaired,high-fat,0.7485092041658127,0.770943947159403,0.999725257514096,0.8804679034219427,0.8710831661782318,0.8918174676598186,0.9040024511741992,0.9106468326649662,0.8479588768160087,severe,lymphatic burden dominated
85,SIM048545,EXP0072,MP0620,PVC,1.0,submicron-to-small,fiber,oxidized,negative,high,10.0,365,barrier-impaired,high-fat,0.7725607229001491,0.7796995554637015,0.979475368027137,0.8911497146371465,0.8764372012681211,0.8917893515573467,0.8981705695169258,0.9105991609031074,0.8477788055716622,severe,lymphatic burden dominated
