polymer,size_class,shape,aging,n_particles,mean_surface_score,mean_effective_size_um,mean_mucus_affinity,mean_intrinsic_translocation,mean_macrophage_recognition,mean_particle_hazard
PE,small microplastic,fiber,oxidized,3,0.7849333333333334,10.693333333333333,0.7989285247269927,0.6115162838793479,0.6536248086063408,0.7178314972061868
PE,small microplastic,fiber,pristine,3,0.48993333333333333,10.293333333333335,0.7232443669727752,0.521134599387783,0.5565589663605581,0.5204443681955845
PE,small microplastic,fragment,UV-aged,3,0.7089333333333334,8.322916666666666,0.7212693088373688,0.5874347156585962,0.5930840244959646,0.6518281443565175
PE,small microplastic,fragment,oxidized,3,0.7849333333333334,8.385416666666666,0.7397926004266084,0.6097881324801168,0.616760732906725,0.7015276631413596
PE,small microplastic,fragment,pristine,3,0.4899333333333334,8.072916666666666,0.6641540900678673,0.5193151531975987,0.5196492432654659,0.5041199928027931
PE,small microplastic,sphere,UV-aged,3,0.6859333333333334,6.558333333333334,0.6405188094775686,0.5639857143781963,0.5274845238557648,0.6117508690684276
PE,small microplastic,sphere,oxidized,3,0.7619333333333334,6.608333333333333,0.6590378362660755,0.5863476608011826,0.551165497067258,0.6614523070135995
PE,small microplastic,sphere,pristine,3,0.46693333333333337,6.358333333333333,0.5834212338324214,0.49583086566849044,0.4540320995009119,0.4640347781087437
PE,submicron-to-small,fiber,UV-aged,3,0.7210333333333333,2.154666666666667,0.7257707008325465,0.7262969316682405,0.706027632500787,0.7070035179586874
PE,submicron-to-small,fiber,oxidized,3,0.7945333333333333,2.170666666666667,0.743715466370667,0.7481824005919991,0.7291578669626663,0.7550833734665332
PE,submicron-to-small,fiber,pristine,3,0.5020333333333332,2.090666666666667,0.6689790619301627,0.6575302094730077,0.6322692714031706,0.5591497554647601
PE,submicron-to-small,fragment,UV-aged,3,0.7210333333333333,1.6895833333333332,0.669555215314265,0.7187279027048037,0.6662431180190684,0.6893854864419141
PE,submicron-to-small,fragment,oxidized,3,0.7945333333333333,1.7020833333333334,0.6874795482295287,0.7406542368742759,0.6893937851038046,0.7374745366300454
PE,submicron-to-small,fragment,pristine,3,0.5020333333333332,1.6395833333333332,0.61284733284916,0.6497936676350132,0.5924010004841732,0.5414940335512113
PE,submicron-to-small,sphere,UV-aged,3,0.6980333333333332,1.3316666666666668,0.5920472153049314,0.6887939027234705,0.5974011180284019,0.6478490864461142
PE,submicron-to-small,sphere,oxidized,3,0.7715333333333333,1.3416666666666668,0.6099542643764871,0.710754804580359,0.6205690689568463,0.6959459143639143
PE,submicron-to-small,sphere,pristine,3,0.47903333333333337,1.2916666666666667,0.5354100412863776,0.6197182507605782,0.5234882920469556,0.4999258147544634
PET,larger microplastic,fiber,UV-aged,3,0.6768333333333333,21.706666666666667,0.725412893500529,0.4832825463322757,0.6044954398328045,0.6378925312580954
PET,larger microplastic,fiber,oxidized,3,0.7553333333333333,21.86666666666667,0.7444526497376108,0.5062280338581115,0.6287806835957225,0.6892396409514085
PET,larger microplastic,fiber,pristine,3,0.45783333333333337,21.066666666666666,0.6682294867149748,0.4152993599033836,0.5311288466183585,0.49021506431159473
PET,larger microplastic,fragment,UV-aged,3,0.6768333333333333,17.020833333333332,0.6657317541389128,0.4826448250555078,0.5681765791944206,0.6218340439708226
PET,larger microplastic,fragment,oxidized,3,0.7553333333333333,17.145833333333332,0.684766223945409,0.5056008854425152,0.5924671093879242,0.6731835325578993
PET,larger microplastic,fragment,pristine,3,0.45783333333333337,16.520833333333332,0.6085702540255423,0.4146178252822487,0.49478807930779106,0.4741467190218393
PET,larger microplastic,sphere,UV-aged,3,0.6538333333333334,13.416666666666666,0.5843368181622077,0.4604846970089178,0.5032215151711256,0.5820467651603399
PET,larger microplastic,sphere,oxidized,3,0.7323333333333334,13.516666666666666,0.6033712879687041,0.48344075739592524,0.5275120453646293,0.6333962537474166
PET,larger microplastic,sphere,pristine,3,0.43483333333333335,13.016666666666666,0.5271753180488373,0.39245769723565865,0.42983301528449597,0.4343594402113566
PET,nano-scale,fiber,UV-aged,6,0.7131333333333334,0.17000000000000004,0.6071526317376499,0.8033980698580336,0.7870907015956835,0.733967649051391
PET,nano-scale,fiber,oxidized,6,0.7841333333333335,0.17120000000000002,0.6244015360166758,0.825050261299982,0.8097917973166577,0.7804806421258292
PET,nano-scale,fiber,pristine,6,0.49413333333333337,0.16520000000000004,0.5511564769400632,0.733040379453207,0.7125368563932701,0.5857559187103049
PET,nano-scale,fragment,UV-aged,6,0.7131333333333334,0.13328125,0.5571297109839063,0.7834439113655208,0.741113622349427,0.7135629633905755
PET,nano-scale,fragment,oxidized,6,0.7841333333333335,0.13421875000000003,0.5743692506543678,0.8051148320245981,0.7638240826789656,0.7600801705388681
PET,nano-scale,fragment,pristine,6,0.49413333333333337,0.12953125000000001,0.5011711994417865,0.7130109344497605,0.6665221338915469,0.5653342935845295
PET,nano-scale,sphere,UV-aged,6,0.6901333333333336,0.10512500000000001,0.48532550959287085,0.7421023141475919,0.6665678237404625,0.6694598540165416
PET,nano-scale,sphere,oxidized,6,0.7611333333333334,0.10587500000000001,0.5025580145328058,0.763787304267722,0.6892853188005277,0.7159802267935708
PET,nano-scale,sphere,pristine,6,0.4711333333333334,0.10212500000000001,0.4293952505782334,0.6716128321768667,0.5919480827551,0.5212184705731283
PET,small microplastic,fiber,UV-aged,3,0.6889333333333334,11.013333333333334,0.7030348623507402,0.5559036086318532,0.6483184709825932,0.6622486452755004
PET,small microplastic,fiber,oxidized,3,0.7649333333333335,11.093333333333334,0.7215560073784054,0.5782613185765229,0.6719973259549281,0.711949130013051
PET,small microplastic,fiber,pristine,3,0.46993333333333337,10.693333333333333,0.6459285247269927,0.487766283879348,0.5748748086063407,0.5145364972061867
PET,small microplastic,fragment,UV-aged,3,0.6889333333333334,8.635416666666666,0.6438645816216311,0.5542441700900713,0.6114887517117024,0.6459602716035994
PET,small microplastic,fragment,oxidized,3,0.7649333333333334,8.697916666666666,0.6623774181295202,0.5766184970742931,0.6351759152038132,0.6956644951750494
PET,small microplastic,fragment,pristine,3,0.46993333333333337,8.385416666666666,0.5867926004266084,0.4860381324801167,0.5380107329067251,0.4982326631413596
PET,small microplastic,sphere,UV-aged,3,0.6659333333333334,6.808333333333334,0.5630933082842694,0.5308367167647947,0.5459100250490639,0.6058923446054122
PET,small microplastic,sphere,oxidized,3,0.7419333333333333,6.858333333333333,0.5816021497173511,0.5532190338986313,0.5696011836159822,0.6555983659605253
PET,small microplastic,sphere,pristine,3,0.4469333333333334,6.608333333333333,0.5060378362660755,0.46259766080118264,0.472415497067258,0.4581573070135995
PET,submicron-to-small,fiber,UV-aged,3,0.7010333333333333,2.2346666666666666,0.6479823279624451,0.6938736774084431,0.7248160053708883,0.701308285750233
PET,submicron-to-small,fiber,oxidized,3,0.7745333333333333,2.250666666666666,0.665921053590166,0.7157712261530014,0.7479522797431674,0.7493908592177587
PET,submicron-to-small,fiber,pristine,3,0.48203333333333337,2.170666666666667,0.591215466370667,0.6250574005919992,0.6510328669626664,0.5534433734665333
PET,submicron-to-small,fragment,UV-aged,3,0.7010333333333333,1.7520833333333332,0.5916666186810442,0.6865050959712448,0.685131714652289,0.6837353549268634
PET,submicron-to-small,fragment,oxidized,3,0.7745333333333333,1.7645833333333334,0.6095858676117036,0.708441598109926,0.7082874657216296,0.7318266929080667
PET,submicron-to-small,fragment,pristine,3,0.48203333333333337,1.7020833333333334,0.5349795482295289,0.6175292368742757,0.6112687851038046,0.5358345366300454
PET,submicron-to-small,sphere,UV-aged,3,0.6780333333333332,1.3816666666666666,0.5140737105956734,0.6567409121419866,0.6163746227376599,0.6422371635652803
PET,submicron-to-small,sphere,oxidized,3,0.7515333333333333,1.3916666666666666,0.5319764213821304,0.6787104905690725,0.6395469119512028,0.6903359437113746
PET,submicron-to-small,sphere,pristine,3,0.45903333333333335,1.3416666666666668,0.4574542643764872,0.5876298045803591,0.5424440689568463,0.49430591436391413
PP,larger microplastic,fiber,UV-aged,3,0.6918333333333334,20.906666666666666,0.7866773626436644,0.5080036080460046,0.584980970689669,0.6415985201436846
PP,larger microplastic,fiber,oxidized,3,0.7703333333333333,21.066666666666666,0.8057294867149749,0.5309243599033836,0.6092538466183585,0.6929400643115947
PP,larger microplastic,fiber,pristine,3,0.4728333333333334,20.266666666666666,0.72944265603184,0.44012302126965336,0.5116656773014933,0.49394413811900534
PP,larger microplastic,fragment,UV-aged,3,0.6918333333333334,16.395833333333332,0.7270238051363949,0.5073107230605437,0.5486345281969386,0.6255276210219557
PP,larger microplastic,fragment,oxidized,3,0.7703333333333334,16.520833333333332,0.7460702540255424,0.5302428252822486,0.5729130793077911,0.6768717190218393
PP,larger microplastic,fragment,pristine,3,0.4728333333333334,15.895833333333334,0.6698126466790927,0.4393830399751481,0.47529568665424066,0.47786264232774167
PP,larger microplastic,sphere,UV-aged,3,0.6688333333333335,12.916666666666666,0.6456288691596898,0.4851505950139538,0.48367946417364355,0.585740342211473
PP,larger microplastic,sphere,oxidized,3,0.7473333333333335,13.016666666666666,0.6646753180488374,0.5080826972356586,0.5079580152844959,0.6370844402113566
PP,larger microplastic,sphere,pristine,3,0.44983333333333336,12.516666666666666,0.5884177107023877,0.41722291192855804,0.4103406226309457,0.43807536351725895
PP,nano-scale,fiber,UV-aged,6,0.7281333333333334,0.16400000000000006,0.6699073031891426,0.8251387269550482,0.7660860301441909,0.7370030468982193
PP,nano-scale,fiber,oxidized,6,0.7991333333333334,0.16520000000000004,0.6871564769400632,0.846790379453207,0.7887868563932702,0.783515918710305
PP,nano-scale,fiber,pristine,6,0.5091333333333333,0.15920000000000004,0.61391006415744,0.7547832050184532,0.6915332691758934,0.5887918044624852
PP,nano-scale,fragment,UV-aged,6,0.7281333333333334,0.12859374999999998,0.6199314830042086,0.8050903673249161,0.7200618503291247,0.7165771659814396
PP,nano-scale,fragment,oxidized,6,0.7991333333333336,0.12953125000000001,0.6371711994417865,0.8267609344497604,0.7427721338915468,0.7630942935845296
PP,nano-scale,fragment,pristine,6,0.5091333333333333,0.12484374999999999,0.5639722610086224,0.7346588113160886,0.6454710723247109,0.5683488158794532
PP,nano-scale,sphere,UV-aged,6,0.7051333333333335,0.101375,0.5481626258220459,0.7636780816892416,0.6454807075112875,0.6724581517134127
PP,nano-scale,sphere,oxidized,6,0.7761333333333335,0.10212500000000001,0.5653952505782334,0.7853628321768666,0.6681980827551001,0.7189784705731284
PP,nano-scale,sphere,pristine,6,0.48613333333333336,0.098375,0.4922318856473224,0.6931895620386888,0.570861447686011,0.5242169847920383
PP,small microplastic,fiber,UV-aged,3,0.7039333333333334,10.613333333333335,0.7643963519919991,0.5804306293493352,0.6287069813413343,0.6659109749369337
PP,small microplastic,fiber,oxidized,3,0.7799333333333335,10.693333333333333,0.7829285247269927,0.6027662838793479,0.6523748086063407,0.7156064972061866
PP,small microplastic,fiber,pristine,3,0.4849333333333334,10.293333333333335,0.7072443669727752,0.5123845993877829,0.5553089663605582,0.5182193681955846
PP,small microplastic,fragment,UV-aged,3,0.7039333333333335,8.322916666666666,0.7052693088373688,0.5786847156585961,0.5918340244959648,0.6496031443565174
PP,small microplastic,fragment,oxidized,3,0.7799333333333333,8.385416666666666,0.7237926004266084,0.6010381324801167,0.615510732906725,0.6993026631413596
PP,small microplastic,fragment,pristine,3,0.4849333333333334,8.072916666666666,0.6481540900678673,0.5105651531975987,0.518399243265466,0.501894992802793
PP,small microplastic,sphere,UV-aged,3,0.6809333333333334,6.558333333333334,0.6245188094775685,0.5552357143781963,0.5262345238557647,0.6095258690684275
PP,small microplastic,sphere,oxidized,3,0.7569333333333333,6.608333333333333,0.6430378362660755,0.5775976608011826,0.549915497067258,0.6592273070135994
PP,small microplastic,sphere,pristine,3,0.46193333333333336,6.358333333333333,0.5674212338324215,0.4870808656684904,0.4527820995009118,0.46180977810874374
PP,submicron-to-small,fiber,UV-aged,3,0.7160333333333334,2.154666666666667,0.7097707008325465,0.7175469316682405,0.7047776325007872,0.7047785179586876
PP,submicron-to-small,fiber,oxidized,3,0.7895333333333333,2.170666666666667,0.727715466370667,0.7394324005919991,0.7279078669626663,0.7528583734665332
PP,submicron-to-small,fiber,pristine,3,0.49703333333333327,2.090666666666667,0.6529790619301626,0.6487802094730077,0.6310192714031705,0.5569247554647601
PP,submicron-to-small,fragment,UV-aged,3,0.7160333333333334,1.6895833333333332,0.653555215314265,0.7099779027048037,0.6649931180190685,0.6871604864419142
PP,submicron-to-small,fragment,oxidized,3,0.7895333333333333,1.7020833333333334,0.6714795482295287,0.7319042368742759,0.6881437851038045,0.7352495366300454
PP,submicron-to-small,fragment,pristine,3,0.49703333333333327,1.6395833333333332,0.59684733284916,0.6410436676350132,0.5911510004841732,0.5392690335512113
PP,submicron-to-small,sphere,UV-aged,3,0.6930333333333333,1.3316666666666668,0.5760472153049314,0.6800439027234706,0.5961511180284019,0.6456240864461141
PP,submicron-to-small,sphere,oxidized,3,0.7665333333333333,1.3416666666666668,0.5939542643764871,0.702004804580359,0.6193190689568462,0.6937209143639143
PP,submicron-to-small,sphere,pristine,3,0.47403333333333336,1.2916666666666667,0.5194100412863776,0.6109682507605781,0.5222382920469557,0.4977008147544634
PS,larger microplastic,fiber,UV-aged,3,0.7218333333333332,22.106666666666666,0.7877578506036372,0.525342632126059,0.6274004827296963,0.6761623005616967
PS,larger microplastic,fiber,oxidized,3,0.8003333333333332,22.266666666666666,0.8067917431683598,0.5482998469966138,0.6516915901649737,0.7275120489075714
PS,larger microplastic,fiber,pristine,3,0.5028333333333334,21.46666666666667,0.7305987418013368,0.4573108497306599,0.5540095915319966,0.5284738995227318
PS,larger microplastic,fragment,UV-aged,3,0.7218333333333335,17.333333333333332,0.7280636314658006,0.5247310704017324,0.5910947018675329,0.6601096991737231
PS,larger microplastic,fragment,oxidized,3,0.8003333333333336,17.458333333333332,0.7470924171614172,0.5476984990104989,0.6153909161719161,0.7114617456106958
PS,larger microplastic,fragment,pristine,3,0.5028333333333334,16.833333333333332,0.6709256722412714,0.4566569888507907,0.5176826610920621,0.5124117808247614
PS,larger microplastic,sphere,UV-aged,3,0.6988333333333333,13.666666666666666,0.6466686954890956,0.5025709423551423,0.5261396378442378,0.6203224203632404
PS,larger microplastic,sphere,oxidized,3,0.7773333333333333,13.766666666666666,0.6656974811847122,0.5255383709639089,0.5504358521486211,0.6716744668002129
PS,larger microplastic,sphere,pristine,3,0.4798333333333333,13.266666666666666,0.5895307362645663,0.43449686080420064,0.452727597068767,0.47262450201427847
PS,nano-scale,fiber,UV-aged,6,0.7581333333333334,0.17300000000000004,0.6687747921292343,0.846903749074865,0.8107185412040993,0.772562676875178
PS,nano-scale,fiber,oxidized,6,0.8291333333333334,0.17420000000000005,0.6860235628485271,0.8685562076362793,0.8334197704848064,0.8190757300514963
PS,nano-scale,fiber,pristine,6,0.5391333333333334,0.16820000000000004,0.612779174700435,0.7765449839324633,0.7361641586328984,0.6243507047181375
PS,nano-scale,fragment,UV-aged,6,0.7581333333333333,0.135625,0.6187284942710244,0.8269963447912847,0.764764839062309,0.7521685109113725
PS,nano-scale,fragment,oxidized,6,0.8291333333333335,0.1365625,0.6359679461866294,0.8486674409600745,0.7874753871467041,0.7986857575493502
PS,nano-scale,fragment,pristine,6,0.5391333333333334,0.131875,0.5627703354219432,0.7565626624894467,0.69017299791139,0.6039396823934589
PS,nano-scale,sphere,UV-aged,6,0.7351333333333335,0.10699999999999998,0.546906727235108,0.7856898788631175,0.6902366060982255,0.7080733060775347
PS,nano-scale,sphere,oxidized,6,0.8061333333333335,0.10775,0.5641391726194692,0.807374988094395,0.7129541607138642,0.7545937056545723
PS,nano-scale,sphere,pristine,6,0.5161333333333333,0.10399999999999998,0.4909767073815485,0.7151999185702361,0.6156166259517847,0.5598318150116365
PS,small microplastic,fiber,UV-aged,3,0.7339333333333334,11.213333333333333,0.765333761919539,0.5980558094942556,0.6712695714137945,0.7005391404695409
PS,small microplastic,fiber,oxidized,3,0.8099333333333334,11.293333333333335,0.7838496632394413,0.6204240068544506,0.6949536700938922,0.7502419848755847
PS,small microplastic,fiber,pristine,3,0.5149333333333334,10.893333333333333,0.7082491109995567,0.52987511133422,0.5978042223337767,0.552817233383533
PS,small microplastic,fragment,UV-aged,3,0.7339333333333334,8.791666666666666,0.7061429114791783,0.5964375103749767,0.6344604218541551,0.6842600231677031
PS,small microplastic,fragment,oxidized,3,0.8099333333333334,8.854166666666666,0.7246507700390691,0.618821793255195,0.6581525632942641,0.7339664868157523
PS,small microplastic,fragment,pristine,3,0.5149333333333334,8.541666666666666,0.649091499995407,0.5281903333425191,0.5609618333379262,0.5365231583354001
PS,small microplastic,sphere,UV-aged,3,0.7109333333333335,6.933333333333334,0.6253617455280969,0.5730498422771397,0.5688915878052365,0.6441965478456898
PS,small microplastic,sphere,oxidized,3,0.7869333333333334,6.983333333333333,0.6438657343784105,0.5954418645765124,0.5925875989549229,0.6939047528630486
PS,small microplastic,sphere,pristine,3,0.49193333333333333,6.733333333333334,0.5683263168202483,0.5047706996928366,0.4953770165130849,0.49645249076422154
PS,submicron-to-small,fiber,UV-aged,3,0.7460333333333334,2.2746666666666666,0.7100769474000108,0.7364344385333116,0.7479713859333225,0.7396907070033284
PS,submicron-to-small,fiber,oxidized,3,0.8195333333333332,2.290666666666667,0.7280127635035605,0.7583378063262124,0.7711105698297729,0.7877745897567312
PS,submicron-to-small,fiber,pristine,3,0.5270333333333334,2.210666666666667,0.6533220158117848,0.6675943017097636,0.6741763175215486,0.5918204262180302
PS,submicron-to-small,fragment,UV-aged,3,0.7460333333333332,1.7833333333333332,0.6537128889137698,0.7291625555057938,0.7083354444195634,0.722139533322137
PS,submicron-to-small,fragment,oxidized,3,0.8195333333333333,1.7958333333333332,0.671629681303893,0.7511039707255475,0.7314936520294403,0.7702319767465816
PS,submicron-to-small,fragment,pristine,3,0.5270333333333334,1.7333333333333332,0.5970358706671545,0.6601665919990242,0.6344624626661788,0.5742341915331138
PS,submicron-to-small,sphere,UV-aged,3,0.7230333333333333,1.4066666666666665,0.5760789036429456,0.699480526047442,0.6396194296903878,0.6806598266940078
PS,submicron-to-small,sphere,oxidized,3,0.7965333333333334,1.4166666666666667,0.593979512759896,0.7214543078135414,0.6627938205734373,0.7287595525913803
PS,submicron-to-small,sphere,pristine,3,0.5040333333333332,1.3666666666666665,0.5194680426961457,0.6303522479410418,0.5656802906371876,0.5327247141200678
PVC,larger microplastic,fiber,UV-aged,3,0.6968333333333332,21.706666666666667,0.7444128935005289,0.49578254633227564,0.6094954398328046,0.6568425312580954
PVC,larger microplastic,fiber,oxidized,3,0.7753333333333332,21.86666666666667,0.7634526497376108,0.5187280338581115,0.6337806835957225,0.7081896409514085
PVC,larger microplastic,fiber,pristine,3,0.47783333333333333,21.066666666666666,0.6872294867149749,0.42779935990338364,0.5361288466183586,0.5091650643115947
PVC,larger microplastic,fragment,UV-aged,3,0.6968333333333333,17.020833333333332,0.6847317541389127,0.4951448250555077,0.5731765791944206,0.6407840439708226
PVC,larger microplastic,fragment,oxidized,3,0.7753333333333333,17.145833333333332,0.7037662239454091,0.5181008854425153,0.5974671093879244,0.6921335325578992
PVC,larger microplastic,fragment,pristine,3,0.47783333333333333,16.520833333333332,0.6275702540255423,0.4271178252822487,0.49978807930779096,0.4930967190218393
PVC,larger microplastic,sphere,UV-aged,3,0.6738333333333334,13.416666666666666,0.6033368181622077,0.47298469700891776,0.5082215151711256,0.6009967651603398
PVC,larger microplastic,sphere,oxidized,3,0.7523333333333334,13.516666666666666,0.6223712879687041,0.4959407573959253,0.5325120453646294,0.6523462537474166
PVC,larger microplastic,sphere,pristine,3,0.45483333333333337,13.016666666666666,0.5461753180488373,0.4049576972356586,0.4348330152844959,0.4533094402113566
PVC,nano-scale,fiber,UV-aged,6,0.7331333333333333,0.17000000000000004,0.6261526317376499,0.8158980698580335,0.7920907015956834,0.7529176490513909
PVC,nano-scale,fiber,oxidized,6,0.8041333333333333,0.17120000000000002,0.6434015360166757,0.8375502612999818,0.8147917973166576,0.7994306421258291
PVC,nano-scale,fiber,pristine,6,0.5141333333333333,0.16520000000000004,0.5701564769400632,0.7455403794532071,0.7175368563932701,0.6047059187103049
PVC,nano-scale,fragment,UV-aged,6,0.7331333333333333,0.13328125,0.5761297109839062,0.7959439113655208,0.746113622349427,0.7325129633905756
PVC,nano-scale,fragment,oxidized,6,0.8041333333333336,0.13421875000000003,0.5933692506543677,0.817614832024598,0.7688240826789657,0.7790301705388679
PVC,nano-scale,fragment,pristine,6,0.5141333333333333,0.12953125000000001,0.5201711994417865,0.7255109344497604,0.6715221338915468,0.5842842935845295
PVC,nano-scale,sphere,UV-aged,6,0.7101333333333334,0.10512500000000001,0.5043255095928708,0.7546023141475917,0.6715678237404625,0.6884098540165414
PVC,nano-scale,sphere,oxidized,6,0.7811333333333333,0.10587500000000001,0.5215580145328057,0.776287304267722,0.6942853188005277,0.7349302267935708
PVC,nano-scale,sphere,pristine,6,0.49113333333333337,0.10212500000000001,0.4483952505782334,0.6841128321768667,0.5969480827551,0.5401684705731283
PVC,small microplastic,fiber,UV-aged,3,0.7089333333333334,11.013333333333334,0.72203486235074,0.5684036086318532,0.6533184709825933,0.6811986452755003
PVC,small microplastic,fiber,oxidized,3,0.7849333333333334,11.093333333333334,0.7405560073784053,0.5907613185765227,0.676997325954928,0.730899130013051
PVC,small microplastic,fiber,pristine,3,0.48993333333333333,10.693333333333333,0.6649285247269927,0.5002662838793479,0.5798748086063407,0.5334864972061867
PVC,small microplastic,fragment,UV-aged,3,0.7089333333333334,8.635416666666666,0.6628645816216311,0.5667441700900714,0.6164887517117024,0.6649102716035995
PVC,small microplastic,fragment,oxidized,3,0.7849333333333334,8.697916666666666,0.6813774181295201,0.5891184970742931,0.6401759152038132,0.7146144951750494
PVC,small microplastic,fragment,pristine,3,0.4899333333333334,8.385416666666666,0.6057926004266083,0.49853813248011664,0.543010732906725,0.5171826631413596
PVC,small microplastic,sphere,UV-aged,3,0.6859333333333334,6.808333333333334,0.5820933082842693,0.5433367167647947,0.5509100250490641,0.6248423446054122
PVC,small microplastic,sphere,oxidized,3,0.7619333333333334,6.858333333333333,0.600602149717351,0.5657190338986311,0.5746011836159822,0.6745483659605253
PVC,small microplastic,sphere,pristine,3,0.46693333333333337,6.608333333333333,0.5250378362660754,0.4750976608011826,0.47741549706725794,0.47710730701359944
PVC,submicron-to-small,fiber,UV-aged,3,0.7210333333333333,2.2346666666666666,0.6669823279624452,0.7063736774084431,0.7298160053708882,0.720258285750233
PVC,submicron-to-small,fiber,oxidized,3,0.7945333333333333,2.250666666666666,0.6849210535901659,0.7282712261530014,0.7529522797431674,0.7683408592177586
PVC,submicron-to-small,fiber,pristine,3,0.5020333333333333,2.170666666666667,0.610215466370667,0.6375574005919993,0.6560328669626664,0.5723933734665331
PVC,submicron-to-small,fragment,UV-aged,3,0.7210333333333333,1.7520833333333332,0.6106666186810442,0.6990050959712447,0.690131714652289,0.7026853549268633
PVC,submicron-to-small,fragment,oxidized,3,0.7945333333333333,1.7645833333333334,0.6285858676117037,0.7209415981099259,0.7132874657216296,0.7507766929080667
PVC,submicron-to-small,fragment,pristine,3,0.5020333333333333,1.7020833333333334,0.5539795482295288,0.6300292368742758,0.6162687851038046,0.5547845366300453
PVC,submicron-to-small,sphere,UV-aged,3,0.6980333333333332,1.3816666666666666,0.5330737105956733,0.6692409121419866,0.6213746227376599,0.6611871635652803
PVC,submicron-to-small,sphere,oxidized,3,0.7715333333333333,1.3916666666666666,0.5509764213821304,0.6912104905690725,0.6445469119512028,0.7092859437113747
PVC,submicron-to-small,sphere,pristine,3,0.47903333333333337,1.3416666666666668,0.4764542643764871,0.600129804580359,0.5474440689568462,0.5132559143639142
