category,n_scenarios,mean_final_risk,sd_final_risk,median_final_risk,max_final_risk,severe_rate,high_or_severe_rate,factor,delta_from_overall_mean,absolute_delta_from_overall_mean,eta_squared_factor
small microplastic,9720,0.4403130069908323,0.11779833378029407,0.41558194359860834,0.8408716444984401,0.011934156378600824,0.2902263374485597,size_class,-0.020186909263567532,0.020186909263567532,0.04346252915343644
fiber,16200,0.4789289203145791,0.12691265616105257,0.4512805305579082,0.874641652884942,0.03524691358024691,0.37320987654320986,shape,0.018429004060179277,0.018429004060179277,0.018854006878670834
90,12150,0.4470687451308971,0.11042492697235576,0.4280519702030927,0.7486549422901693,0.0,0.305679012345679,duration_days,-0.013431171123502728,0.013431171123502728,0.0400330093545715
PS,9720,0.4721615554443597,0.12575846308564795,0.445659884100356,0.874641652884942,0.029526748971193416,0.3570987654320988,polymer,0.011661639189959883,0.011661639189959883,0.0029800767127324056
neutral,16200,0.4488959324165215,0.12162083042382463,0.42510556714785636,0.8596154663140717,0.017160493827160495,0.3064197530864198,charge,-0.011603983837878362,0.011603983837878362,0.0052068109292542205
positive,16200,0.470653209351826,0.1252847382701257,0.4444200227493402,0.874641652884942,0.028950617283950618,0.3553703703703704,charge,0.01015329309742613,0.01015329309742613,0.0052068109292542205
UV-aged,16200,0.4701792360192364,0.12355375169418417,0.4423982636286682,0.8659715799618427,0.026419753086419754,0.35574074074074075,aging,0.009679319764836547,0.009679319764836547,0.03796108767945041
submicron-to-small,9720,0.4699141916754563,0.12424656134886279,0.44114982178645784,0.8647706969944219,0.02654320987654321,0.3545267489711934,size_class,0.00941427542105644,0.00941427542105644,0.04346252915343644
PET,9720,0.45147008043197834,0.1193259506084908,0.4282802861282219,0.8599655552154287,0.015843621399176954,0.31069958847736623,polymer,-0.009029835822421506,0.009029835822421506,0.0029800767127324056
normal,24300,0.45247928352434963,0.12175053167610875,0.4279360936709826,0.8609165535850641,0.018847736625514405,0.31407407407407406,diet_state,-0.008020632730050214,0.008020632730050214,0.00418964562275633
high-fat,24300,0.46852054898444984,0.125533696285426,0.44252536097160544,0.874641652884942,0.02806584362139918,0.35069958847736626,diet_state,0.008020632730049992,0.008020632730049992,0.00418964562275633
medium,16200,0.45393565676487524,0.09152519056399222,0.4659070589921732,0.7024936886415907,0.0,0.35290123456790123,dose_level,-0.006564259489524604,0.006564259489524604,0.3651206350947306
180,12150,0.464926298106349,0.12258493483184207,0.4396225232650345,0.8044778399294933,0.015555555555555555,0.34930041152263375,duration_days,0.004426381851949157,0.004426381851949157,0.0400330093545715
fragment,16200,0.46468406792117073,0.12359581302734929,0.4382956158591118,0.8625470676351237,0.02432098765432099,0.3423456790123457,shape,0.004184151666770886,0.004184151666770886,0.018854006878670834
PVC,9720,0.4580827417293186,0.12158788503614397,0.43411766529081663,0.8660256715658484,0.020061728395061727,0.32551440329218106,polymer,-0.0024171745250812227,0.0024171745250812227,0.0029800767127324056
PP,9720,0.45875054958616596,0.1252819376980711,0.43295328355838825,0.8635501696661705,0.024691358024691357,0.33024691358024694,polymer,-0.001749366668233887,0.001749366668233887,0.0029800767127324056
PE,9720,0.46203465408017613,0.1265673455329053,0.4356075347801355,0.8649810453813664,0.027160493827160494,0.3383744855967078,polymer,0.001534737825776289,0.001534737825776289,0.0029800767127324056
negative,16200,0.4619506069948518,0.12385090091687387,0.4366456029408028,0.8686453230863113,0.024259259259259258,0.3353703703703704,charge,0.0014506907404519542,0.0014506907404519542,0.0052068109292542205
