polymer,size_class,shape,aging,n_scenarios,mean_particle_hazard,mean_interaction_risk,mean_lymphatic_burden,mean_macrophage_activation,mean_ROS,mean_cytokine,mean_final_risk,max_final_risk,severe_rate,high_or_severe_rate
PP,submicron-to-small,fiber,oxidized,216,0.7528583734665333,0.6560222843841493,0.366106193347398,0.46331679399901915,0.5007099755022795,0.46738001765385434,0.5107020120787521,0.8532341592478909,0.06481481481481481,0.4351851851851852
PS,submicron-to-small,fiber,UV-aged,216,0.7396907070033285,0.6603786385883085,0.35497262485724324,0.46871844080226127,0.4974917750732716,0.46518139770453026,0.5106590790766954,0.8553405349029487,0.05555555555555555,0.4351851851851852
PVC,submicron-to-small,fiber,oxidized,216,0.7683408592177586,0.6649285469709625,0.3472734972296292,0.4691812448191296,0.502205170932556,0.4652363141083572,0.5104890945696096,0.8549711610507993,0.05092592592592592,0.4351851851851852
PS,submicron-to-small,fragment,oxidized,216,0.7702319767465815,0.6633668511832288,0.35354442895809357,0.46752584142850384,0.503358512617872,0.4664261792056959,0.5098894020569533,0.8536540203804489,0.05555555555555555,0.4305555555555556
PVC,nano-scale,fragment,oxidized,432,0.7790301705388679,0.668192089782059,0.3444211273890779,0.46672822226485805,0.5036842577646722,0.46484504642285945,0.5095279726239021,0.8507289506726706,0.046296296296296294,0.4351851851851852
PET,nano-scale,fiber,UV-aged,432,0.733967649051391,0.662515085006205,0.34117341774556764,0.46361747824528954,0.492342656331042,0.45993875620578906,0.5071443985377417,0.8486879139290807,0.04398148148148148,0.43287037037037035
PET,submicron-to-small,fiber,oxidized,216,0.7493908592177587,0.6595572308057825,0.337257345443567,0.46152772660939906,0.4933420809447061,0.4585172661888776,0.5038197843569916,0.8485235258835562,0.041666666666666664,0.42592592592592593
PET,nano-scale,fragment,oxidized,432,0.7600801705388681,0.6629088808423274,0.3332935484416537,0.45863260517159005,0.4944408565657039,0.45773040410864135,0.5025472588826114,0.8423020664190483,0.037037037037037035,0.4305555555555556
PE,nano-scale,fragment,UV-aged,432,0.7188021659814396,0.645841633782249,0.3661776956286151,0.4495354986278456,0.48891501768648954,0.4606053304544492,0.502306403259609,0.8444420656892317,0.046296296296296294,0.4305555555555556
PE,submicron-to-small,fiber,UV-aged,216,0.7070035179586874,0.6417077174082676,0.36125790832586346,0.4490086129630959,0.48459667462548106,0.4578429494057627,0.5001290246883057,0.8453490769718447,0.046296296296296294,0.4166666666666667
PE,submicron-to-small,fragment,oxidized,216,0.7374745366300454,0.6447706175436414,0.3608911826138601,0.44812222606790236,0.49075700886310947,0.4594791612450881,0.4997463883164111,0.8440417246921592,0.046296296296296294,0.4166666666666667
PP,nano-scale,fragment,UV-aged,432,0.7165771659814395,0.6443108125116773,0.3587185989542786,0.44595965994342307,0.48556081325184125,0.4571656262657619,0.49878215233567197,0.8429773976551833,0.041666666666666664,0.4166666666666667
PP,submicron-to-small,fiber,UV-aged,216,0.7047785179586875,0.6401564159397922,0.3547665881223037,0.445741170346765,0.4815260285192309,0.45473775933009875,0.49688797746454844,0.8439225760760642,0.041666666666666664,0.4166666666666667
PVC,submicron-to-small,fiber,UV-aged,216,0.720258285750233,0.6490846871831536,0.3351646125679667,0.45134800498106875,0.48283524235233066,0.45224256418635206,0.49643830225049934,0.8411422285815057,0.032407407407407406,0.4074074074074074
PP,submicron-to-small,fragment,oxidized,216,0.7352495366300453,0.6432236755936821,0.35410592770303057,0.4447737135413761,0.48761051969722174,0.45628104595027075,0.49642521255231564,0.8426096499092118,0.041666666666666664,0.41203703703703703
PVC,nano-scale,fragment,UV-aged,432,0.7325129633905755,0.6531541915681904,0.33351185230232927,0.44968468445949833,0.48519861615584653,0.4526067251099602,0.49640828595044223,0.8358684216960099,0.032407407407407406,0.41435185185185186
PS,submicron-to-small,fragment,UV-aged,216,0.7221395333221369,0.6475897421501811,0.3418345876611638,0.44987759777367536,0.4841308337030395,0.4535881845475711,0.49602609935058234,0.8420416802080077,0.037037037037037035,0.41203703703703703
PVC,submicron-to-small,fragment,oxidized,216,0.7507766929080667,0.6521153632170597,0.33333643301110716,0.44999724526553136,0.48857443351845864,0.453337612194451,0.4955694857331069,0.8394750578931645,0.032407407407407406,0.4074074074074074
PS,nano-scale,sphere,oxidized,432,0.7545937056545723,0.6519803302560763,0.3377993988625224,0.4463354443716408,0.4894967169945051,0.45391477775403183,0.49455762323763425,0.835247049459576,0.032407407407407406,0.41203703703703703
PS,small microplastic,fiber,oxidized,216,0.7502419848755848,0.6510882455321999,0.3197095722899659,0.45302643378929414,0.48593213863651913,0.4503000030042528,0.49273172187827474,0.8408716444984401,0.032407407407407406,0.4027777777777778
PET,submicron-to-small,fiber,UV-aged,216,0.7013082857502331,0.6437066555421728,0.3249862897602316,0.4436065264544962,0.4738950195409289,0.4454578991202713,0.48970611164761846,0.8310742486742115,0.027777777777777776,0.39351851851851855
PET,nano-scale,fragment,UV-aged,432,0.7135629633905756,0.6478617963387795,0.3222523897779477,0.44159910636671934,0.47589628609570794,0.4454394679665248,0.48938639757525776,0.8246288785935514,0.027777777777777776,0.39351851851851855
PET,submicron-to-small,fragment,oxidized,216,0.7318266929080666,0.6467557836981049,0.3228913298587556,0.4421637701189058,0.4795352573931286,0.44646002928396694,0.48875863366001127,0.8292734518353176,0.027777777777777776,0.39351851851851855
PS,nano-scale,fiber,pristine,432,0.6243507047181375,0.6300267608550477,0.33875197273219193,0.43412712666582354,0.4574078628411196,0.44108927784070523,0.486159315451944,0.8256292640016083,0.027777777777777776,0.3888888888888889
PE,nano-scale,sphere,oxidized,432,0.7212034705731284,0.6335551907235989,0.34965369372648286,0.4283131089042196,0.4781555461425554,0.44865623565714186,0.48606203064682973,0.8276140173833696,0.027777777777777776,0.3888888888888889
PE,submicron-to-small,fragment,UV-aged,216,0.6893854864419141,0.6289472444253159,0.34946937613835455,0.43043452741568383,0.47154718719870764,0.4467731131800083,0.4859243281626774,0.8319164180613572,0.032407407407407406,0.3888888888888889
PP,submicron-to-small,fragment,UV-aged,216,0.6871604864419141,0.6273985104161219,0.34237059340333503,0.42704337302854917,0.46834018844141895,0.4434263670990538,0.4825097826921491,0.8274919363242321,0.027777777777777776,0.38425925925925924
PP,nano-scale,sphere,oxidized,432,0.7189784705731284,0.6320256624451521,0.34178634839299127,0.42465572307273947,0.4747125611788918,0.44502035254135885,0.4824153010386705,0.8225057502608546,0.027777777777777776,0.38425925925925924
PS,submicron-to-small,sphere,oxidized,216,0.7287595525913801,0.6374265883062207,0.3287700874185379,0.4312615530326629,0.4760230506583118,0.443806436498157,0.48227032554038046,0.8239526607804757,0.027777777777777776,0.38425925925925924
PVC,submicron-to-small,fragment,UV-aged,216,0.7026853549268632,0.6363160082145436,0.3212363890221238,0.4322014323366847,0.4691852550175354,0.4403613158494823,0.48155808554943774,0.8212770421525514,0.027777777777777776,0.38425925925925924
PS,nano-scale,sphere,UV-aged,432,0.7080733060775347,0.6369545165360185,0.32702508376833045,0.4294440266802171,0.4710763322003416,0.44175779114688724,0.4815141032274158,0.8191433603547369,0.027777777777777776,0.3819444444444444
PS,small microplastic,fragment,oxidized,216,0.7339664868157522,0.639470831870321,0.3137544243664078,0.43719497667091617,0.47537933323405224,0.44170353194821316,0.4811979869741903,0.8261097036118555,0.027777777777777776,0.38425925925925924
PE,small microplastic,fiber,oxidized,216,0.7178314972061868,0.6324222572459129,0.32199248241614603,0.4320052055143204,0.47184019395900584,0.4417025809732038,0.48092093285956217,0.8293411950877749,0.027777777777777776,0.37962962962962965
PVC,nano-scale,sphere,oxidized,432,0.7349302267935707,0.6408533752826,0.3157525781692051,0.4281684548754,0.4740034949520357,0.4401650647834093,0.4797444463233446,0.8126485753309638,0.027777777777777776,0.37962962962962965
PVC,small microplastic,fiber,oxidized,216,0.730899130013051,0.6397602742290552,0.3013300778945921,0.43610971146588456,0.4716506691418331,0.43783710659482217,0.47891343312449447,0.8207215082149965,0.027777777777777776,0.37962962962962965
PS,small microplastic,fiber,UV-aged,216,0.7005391404695409,0.6346407619170306,0.3064135399256205,0.4344441124054845,0.46565818520539703,0.43662639967597155,0.4779221523280531,0.8212316150061044,0.027777777777777776,0.375
PP,small microplastic,fiber,oxidized,216,0.7156064972061865,0.6308652210986827,0.31600777157159393,0.4289911169131847,0.46897990036664894,0.43875397273645483,0.4778541141828898,0.8243448053344775,0.027777777777777776,0.375
PE,nano-scale,fiber,pristine,432,0.5910168044624853,0.6113403198054677,0.34965591452001904,0.41577838270043227,0.4457279586494567,0.4354734180868902,0.4771576128986584,0.8195329323590175,0.027777777777777776,0.37962962962962965
PET,submicron-to-small,fragment,UV-aged,216,0.6837353549268633,0.6309489399626864,0.3107377011202051,0.4244515584846634,0.4601200018471111,0.43346454053141037,0.4747403834335485,0.8101373305762832,0.027777777777777776,0.37037037037037035
PP,nano-scale,fiber,pristine,432,0.5887918044624854,0.6098013171677501,0.34200794792647854,0.4122377006592232,0.4423540443269356,0.43190070974716266,0.4735697399446248,0.8139173185576339,0.027777777777777776,0.36574074074074076
PE,nano-scale,sphere,UV-aged,432,0.6746831517134128,0.6184594024366861,0.339146093191881,0.4115228328754951,0.4598352383421363,0.43656092688378706,0.4730658870091869,0.8119731818407471,0.027777777777777776,0.36342592592592593
PET,nano-scale,sphere,oxidized,432,0.7159802267935709,0.635566215778108,0.30425442775719413,0.4200800965387614,0.46463606462541374,0.43295110435265804,0.4726647740814717,0.8000163304558358,0.023148148148148147,0.36342592592592593
PET,small microplastic,fiber,oxidized,216,0.711949130013051,0.6343536050983501,0.29224421231259573,0.4288097844210632,0.4630085433001104,0.4314278148198233,0.4725127369988939,0.8092804667112166,0.023148148148148147,0.37037037037037035
PE,submicron-to-small,sphere,oxidized,216,0.6959459143639143,0.6188312044686463,0.3371767461731356,0.4121296203673743,0.46370538381144233,0.4372787062781682,0.472479758459364,0.8144065417359476,0.027777777777777776,0.36574074074074076
PS,larger microplastic,fiber,oxidized,216,0.7275120489075714,0.6357715336388698,0.2867970609422538,0.43009602410875114,0.4655085813330487,0.43172502864182705,0.4718969064513222,0.8108741527388554,0.027777777777777776,0.36574074074074076
PVC,nano-scale,fiber,pristine,432,0.6047059187103048,0.618779887208585,0.3171073463569096,0.416262205158063,0.4421027299828985,0.42747916813243936,0.4714343419806023,0.804486493994315,0.023148148148148147,0.3587962962962963
PE,small microplastic,fragment,oxidized,216,0.7015276631413597,0.6207712260482054,0.31691744919932613,0.4164790537693016,0.46155974402236155,0.43338085174033225,0.4696512972681974,0.8151977413999926,0.027777777777777776,0.3611111111111111
PP,nano-scale,sphere,UV-aged,432,0.6724581517134127,0.6169275752613139,0.3311518700069,0.4078824327741742,0.4563462191109327,0.4328883053131611,0.4693821519081141,0.8069000674062495,0.023148148148148147,0.35648148148148145
PP,submicron-to-small,sphere,oxidized,216,0.6937209143639143,0.617285502577951,0.32986952575163525,0.4087040971313912,0.4604398770535834,0.4338563978952899,0.469006716411656,0.8096013087094283,0.027777777777777776,0.35648148148148145
PS,nano-scale,fragment,pristine,432,0.6039396823934589,0.6154055342178544,0.32067247320444114,0.4126950249999953,0.44133171502633894,0.4269771513984845,0.468769954630391,0.8030919724945995,0.023148148148148147,0.35185185185185186
PS,submicron-to-small,sphere,UV-aged,216,0.6806598266940077,0.621668808515773,0.31692001861847163,0.4137014520746526,0.4567482662906906,0.43096723125556363,0.46840018327303645,0.8063658090207122,0.023148148148148147,0.35648148148148145
PVC,submicron-to-small,sphere,oxidized,216,0.7092859437113745,0.6261806233633876,0.3075948562764051,0.41353749785880317,0.4608555530240237,0.4303857887364505,0.46765304693365944,0.8013968829183398,0.023148148148148147,0.35648148148148145
PVC,small microplastic,fragment,oxidized,216,0.7146144951750493,0.628131446598953,0.2948230750977541,0.42021647705463755,0.4609125833885121,0.4290562649810503,0.4672134689014659,0.8041941245847312,0.023148148148148147,0.35648148148148145
PS,submicron-to-small,fiber,pristine,216,0.5918204262180302,0.6105248520853844,0.31771134474103735,0.41262183842571987,0.4373972943632876,0.42477993398558805,0.46667907345863824,0.8048202017474252,0.023148148148148147,0.35648148148148145
PVC,nano-scale,sphere,UV-aged,432,0.6884098540165415,0.6257965823392424,0.3047479596587783,0.41135850101194577,0.455519828098394,0.4279502386432363,0.46663544353606345,0.7938546226601814,0.023148148148148147,0.3472222222222222
PP,small microplastic,fragment,oxidized,216,0.6993026631413597,0.6192132866269325,0.31067643988040977,0.4134166559772322,0.45861556666978304,0.43034871773864153,0.4665065547276288,0.8101129350950385,0.027777777777777776,0.35648148148148145
PS,small microplastic,fragment,UV-aged,216,0.6842600231677032,0.6230112916857536,0.3005731264756907,0.41878130499463456,0.4551407112077002,0.4280805614422707,0.4664352730706214,0.8062407764519413,0.023148148148148147,0.35648148148148145
PE,small microplastic,fiber,UV-aged,216,0.6681359749369338,0.6159936893192826,0.30883153460495616,0.41362741064131375,0.4516866512627444,0.428142435712154,0.4662098027617017,0.8098985631457334,0.027777777777777776,0.35648148148148145
PET,nano-scale,fiber,pristine,432,0.5857559187103049,0.6134543576134717,0.3058904098887585,0.40837279717999203,0.4328305286582459,0.4203373067212894,0.46443796730074677,0.7895139679368721,0.018518518518518517,0.3449074074074074
PVC,small microplastic,fiber,UV-aged,216,0.6811986452755002,0.6233203335614939,0.28807071419143776,0.41772277459960705,0.451388551543971,0.4241943930140766,0.4641505833092741,0.7989230807745819,0.023148148148148147,0.3472222222222222
PP,small microplastic,fiber,UV-aged,216,0.6659109749369337,0.6144373884677863,0.3028427230068068,0.4106524150758113,0.44881333198109974,0.4251880430240267,0.4631464279392732,0.8049673438241052,0.023148148148148147,0.3472222222222222
PS,larger microplastic,fragment,oxidized,216,0.7114617456106956,0.6241194046456168,0.2833650140511888,0.4153174659799501,0.45579919814815306,0.4240524538409908,0.46113506708388646,0.7968815017405899,0.023148148148148147,0.3425925925925926
PET,submicron-to-small,sphere,oxidized,216,0.6903359437113745,0.620826316358965,0.2968188727033797,0.4057545119624106,0.45172153073588617,0.4234320455412497,0.4607694138110797,0.7877118973478333,0.018518518518518517,0.33796296296296297
PET,small microplastic,fragment,oxidized,216,0.6956644951750494,0.6227221886879486,0.28545599551098216,0.41286770018534,0.4521998964023238,0.42257579966351017,0.4607325745888724,0.7924115283020329,0.023148148148148147,0.33796296296296297
PE,nano-scale,fragment,pristine,432,0.5705738158794533,0.5967274841458255,0.3325131126559959,0.3946928424519606,0.4299881941396024,0.4216566618895166,0.4600865482837191,0.7975858910598285,0.023148148148148147,0.3402777777777778
PE,larger microplastic,fiber,oxidized,216,0.6951650643115947,0.6173053464925211,0.28778214504641864,0.4089966395437467,0.45122274118006395,0.42286010519835543,0.459912978341061,0.8003484081220409,0.023148148148148147,0.33796296296296297
PET,nano-scale,sphere,UV-aged,432,0.6694598540165415,0.6205002163907994,0.2932053221322056,0.4033516133790482,0.4461652079924856,0.4207489691543504,0.4595581702086696,0.7780732431202593,0.013888888888888888,0.3333333333333333
PE,submicron-to-small,sphere,UV-aged,216,0.6478490864461142,0.603024128644847,0.32554756096650156,0.3946811618367321,0.4445284216436715,0.42450249896506825,0.4586617346728636,0.7978588353014331,0.023148148148148147,0.33796296296296297
PVC,larger microplastic,fiber,oxidized,216,0.7081896409514085,0.624529001280036,0.26958841048011556,0.41379732429440375,0.4516231975964312,0.4197477644239805,0.4585570608724082,0.7870720545264611,0.013888888888888888,0.33796296296296297
PET,small microplastic,fiber,UV-aged,216,0.6622486452755004,0.61791614301549,0.27903309052642045,0.4105116109939099,0.44278489011030625,0.4178299195669118,0.4577874678057641,0.7858826933055577,0.013888888888888888,0.33796296296296297
PP,larger microplastic,fiber,oxidized,216,0.6929400643115947,0.6157559254355841,0.28226714207181114,0.406178044593301,0.4484712113582771,0.42006065220175987,0.45699823142687196,0.794325275512567,0.023148148148148147,0.33796296296296297
PS,larger microplastic,fiber,UV-aged,216,0.6761623005616967,0.6189687441553966,0.2734000679129125,0.411397971909264,0.4447621571439291,0.4178508461200066,0.45691380574983576,0.7875678379558675,0.013888888888888888,0.33796296296296297
PS,small microplastic,sphere,oxidized,216,0.6939047528630486,0.6146754667749795,0.2952591324948867,0.4040171294785336,0.4506203385230349,0.4218515460065159,0.4564255988930799,0.7925436917122639,0.023148148148148147,0.33796296296296297
PP,nano-scale,fragment,pristine,432,0.5683488158794533,0.595189296214604,0.3244345323981409,0.39110196093083854,0.4264941957009306,0.41798627549738654,0.45638885333086343,0.7901141961254019,0.018518518518518517,0.3333333333333333
PE,submicron-to-small,fiber,pristine,216,0.5591497554647601,0.5917546532082996,0.32451055631697723,0.39310425843408353,0.42464054983135424,0.4177387106357432,0.45625540242642343,0.7961108428298826,0.023148148148148147,0.33796296296296297
PP,submicron-to-small,sphere,UV-aged,216,0.6456240864461142,0.6014765554326781,0.31810348800432414,0.3912726230499108,0.4412200701867491,0.421051220440989,0.4551499670516237,0.7924780190618328,0.023148148148148147,0.3333333333333333
PE,small microplastic,fragment,UV-aged,216,0.6518281443565175,0.6043205279153903,0.30383606710415756,0.39823266838701565,0.44142511833955894,0.4198536182924651,0.45496281216155443,0.79601489019785,0.023148148148148147,0.33796296296296297
PVC,nano-scale,fragment,pristine,432,0.5842842935845295,0.6041646197830759,0.2985354927502742,0.3948831794145843,0.42585621576932897,0.4132250935055189,0.453924567993155,0.7731325588985436,0.009259259259259259,0.32407407407407407
PVC,submicron-to-small,sphere,UV-aged,216,0.6611871635652803,0.6103993797989516,0.2956149984556229,0.3960991122207039,0.44155582787270603,0.4175288680339293,0.45375896203709454,0.7785117246548469,0.013888888888888888,0.32407407407407407
PP,submicron-to-small,fiber,pristine,216,0.5569247554647601,0.590199352701939,0.31746511436923713,0.3898466773216115,0.4214735032801081,0.414431784773724,0.4528765931450973,0.7891061739734904,0.018518518518518517,0.3287037037037037
PVC,small microplastic,fragment,UV-aged,216,0.6649102716035995,0.6116745994340681,0.2816750391414447,0.40196816483882286,0.4407135420153608,0.41548691371868135,0.45249602163762154,0.7800178350240747,0.013888888888888888,0.3287037037037037
PET,larger microplastic,fiber,oxidized,216,0.6892396409514085,0.6191503126962326,0.26122462904168736,0.406831923184574,0.4432448752217841,0.4136436488401866,0.4524354209274791,0.7736025667413743,0.009259259259259259,0.3287037037037037
PVC,submicron-to-small,fiber,pristine,216,0.5723933734665331,0.5991808352942514,0.2973485511407985,0.39541719431541966,0.4225297738820444,0.4116482697828499,0.45230042015045496,0.7782762620862547,0.013888888888888888,0.32407407407407407
PS,submicron-to-small,fragment,pristine,216,0.5742341915331137,0.597854911345818,0.30483041378063547,0.3941871968992228,0.4241322828871058,0.41334983660438973,0.4522745722615255,0.7821675396478585,0.013888888888888888,0.32407407407407407
PP,small microplastic,fragment,UV-aged,216,0.6496031443565174,0.6027629042934125,0.2975830822625574,0.3952023083662905,0.4384659788319439,0.41681372592454063,0.4518187921137148,0.789904864408436,0.018518518518518517,0.3287037037037037
PE,larger microplastic,fragment,oxidized,216,0.6790967190218393,0.6055688002116169,0.28493732744441763,0.39439249271434196,0.44165838744960223,0.41532355572465746,0.4492691987906325,0.785075082953578,0.013888888888888888,0.32407407407407407
PVC,larger microplastic,fragment,oxidized,216,0.6921335325578993,0.6128392501496828,0.26560832060683603,0.39894179523439527,0.44176993365996287,0.4119204298544448,0.4476179808312209,0.7696045782140076,0.009259259259259259,0.3055555555555556
PET,nano-scale,fragment,pristine,432,0.5653342935845295,0.59884249092501,0.2871620872655124,0.3870998844634532,0.4165872979073036,0.4060944811023657,0.44691960286999555,0.7574008550965672,0.004629629629629629,0.2986111111111111
PET,submicron-to-small,sphere,UV-aged,216,0.6422371635652803,0.6050372863162413,0.2848609842188644,0.3884568814172698,0.4324651043994919,0.410618783777695,0.4469067687634567,0.7634352125534319,0.004629629629629629,0.3055555555555556
PP,larger microplastic,fragment,oxidized,216,0.6768717190218394,0.6040159624622391,0.2791989698036839,0.39153504806056316,0.4388495090960863,0.41246439459130885,0.4462896861137908,0.7776401118681375,0.013888888888888888,0.3101851851851852
PS,larger microplastic,fragment,UV-aged,216,0.6601096991737231,0.6072580166948276,0.26996423143677495,0.396723796700439,0.4350723839299475,0.41019870082757237,0.44612849291659135,0.7706274038302989,0.009259259259259259,0.3055555555555556
PET,small microplastic,fragment,UV-aged,216,0.6459602716035994,0.6062661094077322,0.2723895899100699,0.39476767550936565,0.43206136221408975,0.4090710717749972,0.4460717020278714,0.7658714225776894,0.009259259259259259,0.3055555555555556
PET,submicron-to-small,fiber,pristine,216,0.5534433734665333,0.5937854397853845,0.28713939592995774,0.387994884162619,0.4136015681091153,0.40489394078142416,0.445607009520674,0.7635118870977613,0.004629629629629629,0.30092592592592593
PE,small microplastic,sphere,oxidized,216,0.6614523070135994,0.5959682468777632,0.29931344970965623,0.3836966590509305,0.43713073832269606,0.41383722157963704,0.4451899160852706,0.7817549868026015,0.013888888888888888,0.3101851851851852
PE,larger microplastic,fiber,UV-aged,216,0.6438235201436845,0.6005467051887192,0.2745798384108605,0.3905491769188546,0.4305958947883976,0.4091082322915827,0.4450620731855651,0.7744061653466606,0.009259259259259259,0.3055555555555556
PVC,larger microplastic,fiber,UV-aged,216,0.6568425312580954,0.6077462224660154,0.25645713072331455,0.39540112305076236,0.4310233951197879,0.40602893649775745,0.4437243227754305,0.7598652426568777,0.004629629629629629,0.2962962962962963
PVC,small microplastic,sphere,oxidized,216,0.6745483659605251,0.6033349106329635,0.2758531799061579,0.38716313766377364,0.43607630999889424,0.40913734953508724,0.4423524844462058,0.763243060280925,0.004629629629629629,0.2916666666666667
PE,submicron-to-small,fragment,pristine,216,0.5414940335512113,0.5790902190859972,0.3127002053888334,0.3750932117801683,0.41175377695724563,0.4066914476600412,0.44223155985693474,0.7734834926328399,0.009259259259259259,0.2916666666666667
PP,larger microplastic,fiber,UV-aged,216,0.6415985201436846,0.5989990910936515,0.2691226952291486,0.38779991373361683,0.42787749761985094,0.40634514411329226,0.4421801288429482,0.7671294210178464,0.009259259259259259,0.2962962962962963
PP,small microplastic,sphere,oxidized,216,0.6592273070135994,0.5944102016872533,0.29281698904491094,0.38063610353262806,0.43409829007192924,0.41072668631104403,0.44197522411605805,0.7737905925602063,0.009259259259259259,0.2962962962962963
PS,small microplastic,sphere,UV-aged,216,0.6441965478456899,0.5982168051104814,0.2823100394213163,0.3859755537616695,0.4305223400407921,0.40839231216387945,0.44179991574570227,0.7666003090646923,0.009259259259259259,0.2916666666666667
PET,larger microplastic,fragment,oxidized,216,0.6731835325578993,0.6074476377004567,0.25698361848339846,0.39198314849178423,0.43333805284683613,0.4057602076100776,0.4414251237066654,0.7560333560104333,0.004629629629629629,0.2916666666666667
PS,nano-scale,sphere,pristine,432,0.5598318150116365,0.5880021153403776,0.2925795137476291,0.3753574514781602,0.4120422268500125,0.4027281220853115,0.43934570696157954,0.7530080185096285,0.004629629629629629,0.2824074074074074
PP,submicron-to-small,fragment,pristine,216,0.5392690335512113,0.5775367179497904,0.3054026472159137,0.3718300164575596,0.4085044664001675,0.40330668282189247,0.4387845632846115,0.7664056029327831,0.009259259259259259,0.28703703703703703
PVC,submicron-to-small,fragment,pristine,216,0.5547845366300455,0.5865212517603094,0.28401530853325274,0.3770848273083466,0.4091698347244716,0.40013112959827407,0.43781443128960745,0.7517987870916039,0.004629629629629629,0.2824074074074074
PET,larger microplastic,fiber,UV-aged,216,0.6378925312580954,0.6023744727569541,0.24826699481596293,0.3886274477223282,0.4227358992234889,0.4000184591141082,0.43769366785340413,0.746718207917769,0.0,0.28703703703703703
PS,larger microplastic,sphere,oxidized,216,0.6716744668002128,0.5994476929573089,0.26783261510548395,0.3836078000659445,0.4321709718611461,0.4054377810832771,0.4374600945247365,0.7579048531317865,0.004629629629629629,0.28703703703703703
PET,small microplastic,sphere,oxidized,216,0.6555983659605253,0.5979258646808928,0.266320686765912,0.3799698586783293,0.42737725145440614,0.4026756372235976,0.4358678480507881,0.7489737799181252,0.0,0.2824074074074074
PE,larger microplastic,fragment,UV-aged,216,0.6277526210219556,0.5887442161989137,0.2717419792409705,0.376087763952589,0.42106101207180896,0.40159815780276287,0.4343997210915586,0.7581175915173399,0.004629629629629629,0.2824074074074074
