simulation_id,exposure_scenario_id,particle_id,polymer,size_um,size_class,shape,aging,charge,dose_level,duration_days,gut_status,diet_state,particle_hazard_potential,interaction_risk_proxy,lymphatic_burden_index,macrophage_activation_score,ROS_score,cytokine_activation_score,systemic_inflammatory_spillover_score,immune_dysregulation_score,baseline_final_risk,baseline_risk_class,dominant_mechanistic_driver,mc_mean_risk,mc_sd_risk,mc_cv_risk,mc_p05_risk,mc_p25_risk,mc_p50_risk,mc_p75_risk,mc_p95_risk,mc_uncertainty_band_width,mc_prob_low,mc_prob_moderate,mc_prob_high,mc_prob_severe,mc_prob_high_or_severe,mc_mean_minus_baseline,mc_p05_class,mc_p50_class,mc_p95_class,classification_stable,uncertainty_class,risk_robustness_label,mc_rank_mean,mc_rank_p05,mc_rank_p95
SIM048249,EXP0072,MP0324,PP,0.1,nano-scale,fiber,oxidized,positive,high,365,barrier-impaired,high-fat,0.8122164529037053,0.7983940320817782,0.9975369050531256,0.9022593082128474,0.8931751156728694,0.9046855490793276,0.9105100440104258,0.923788356781728,0.8631222649894911,severe,lymphatic burden dominated,0.8540778537331689,0.027021560963000273,0.03163828782687382,0.8109659510282186,0.8353505301042907,0.8544628317814471,0.8722298635413253,0.897594131137409,0.08662818010919049,0.0,0.0,0.0,1.0,1.0,-0.00904441125632216,severe,severe,severe,True,low uncertainty,robust severe,11,9,8
SIM048222,EXP0072,MP0297,PP,0.05,nano-scale,fiber,oxidized,positive,high,365,barrier-impaired,high-fat,0.8143055399351886,0.799242164741417,0.9974097707178368,0.9027508128239116,0.8938492777154421,0.9050969741194376,0.91080659269627,0.9241645269506846,0.8635501696661705,severe,lymphatic burden dominated,0.853907318496851,0.026247829530110116,0.030738499321312673,0.8104437363576104,0.8345224497597442,0.8557057904941392,0.8729334729467816,0.8915962672725011,0.08115253091489072,0.0,0.0,0.0,1.0,1.0,-0.00964285116931951,severe,severe,severe,True,low uncertainty,robust severe,12,11,29
SIM048348,EXP0072,MP0423,PS,0.05,nano-scale,fragment,oxidized,positive,high,365,barrier-impaired,high-fat,0.8293256758995281,0.803938909106672,0.9879877787274324,0.9073832837084892,0.8972812382266396,0.9068705334077664,0.911576428235436,0.9253078957888587,0.8625470676351237,severe,lymphatic burden dominated,0.8536012728924699,0.027005076436257682,0.03163664030715186,0.809229039523765,0.8349034939438473,0.8558465838706157,0.8721024351953033,0.8954359664087636,0.08620692688499854,0.0,0.0,0.0,1.0,1.0,-0.008945794742653779,severe,severe,severe,True,low uncertainty,robust severe,13,13,14
SIM048411,EXP0072,MP0486,PS,1.0,submicron-to-small,fiber,oxidized,positive,high,365,barrier-impaired,high-fat,0.8173245789978065,0.802095487801693,0.9925954164556612,0.909023903656672,0.8954096255909124,0.9061562184831038,0.9098380748142834,0.9253340940994812,0.8647706969944219,severe,lymphatic burden dominated,0.8530192426476971,0.027956279787624314,0.032773328419670456,0.8064723993732777,0.8360751137847791,0.8554564076894674,0.8717408640050218,0.8961398706069327,0.08966747123365493,0.0,0.0,0.0,1.0,1.0,-0.011751454346724755,severe,severe,severe,True,low uncertainty,robust severe,14,17,11
SIM047979,EXP0072,MP0054,PET,0.1,nano-scale,fiber,oxidized,positive,high,365,barrier-impaired,high-fat,0.8091496316238465,0.8015474966156142,0.9755304658058012,0.9068783219458728,0.8906976057084437,0.9001355879101438,0.9061660986110296,0.9194722231032282,0.8597034927876841,severe,lymphatic burden dominated,0.8525650398654299,0.026511072421451207,0.031095659781692032,0.8104954328332047,0.8358051917199336,0.8520843133004337,0.8704403771684989,0.8959193142155014,0.08542388138229673,0.0,0.0,0.0,1.0,1.0,-0.007138452922254235,severe,severe,severe,True,low uncertainty,robust severe,15,10,12
SIM048114,EXP0072,MP0189,PE,0.1,nano-scale,fiber,oxidized,positive,high,365,barrier-impaired,high-fat,0.8144414529037053,0.7999622391689386,0.9994377456195724,0.9030623278465826,0.8943843932384291,0.9054119370209416,0.9110564169527328,0.9246853600989592,0.8645510273741811,severe,lymphatic burden dominated,0.8523278700190472,0.025700009053065378,0.03015272638270165,0.8093474499767732,0.8364602689084285,0.8545191686081863,0.8694672018223158,0.8929613907678865,0.08361394079111328,0.0,0.0,0.0,1.0,1.0,-0.012223157355133907,severe,severe,severe,True,low uncertainty,robust severe,16,12,19
SIM048491,EXP0072,MP0566,PVC,0.05,nano-scale,fiber,oxidized,negative,high,365,barrier-impaired,high-fat,0.8047436060554244,0.7967619877776173,0.9853634484449773,0.9025601848247448,0.8895478117570061,0.9016307616454426,0.9090345582688186,0.9205261560096596,0.8596389361132066,severe,lymphatic burden dominated,0.8522245641764202,0.0264915237224645,0.031085144498310152,0.805922699813063,0.8352867270095856,0.8530426019576922,0.8710270387235091,0.8920243013599961,0.08610160154693314,0.0,0.0,0.0,1.0,1.0,-0.007414371936786401,severe,severe,severe,True,low uncertainty,robust severe,17,22,24
SIM048086,EXP0072,MP0161,PE,0.05,nano-scale,fiber,oxidized,negative,high,365,barrier-impaired,high-fat,0.7910218854977893,0.789858403786938,1.0,0.8948207960964333,0.8861880820149425,0.9006648750441124,0.9087549425107984,0.9197689971888512,0.8589001149001148,severe,lymphatic burden dominated,0.8514198837224829,0.027581854022167944,0.03239512554198905,0.8041757320390632,0.8341504761288802,0.8520192378968756,0.8722394443516487,0.8936878428202668,0.08951211078120358,0.0,0.0,0.0033333333333333335,0.9966666666666667,1.0,-0.0074802311776318575,severe,severe,severe,True,low uncertainty,robust severe,18,28,17
SIM047709,EXP0071,MP0459,PS,0.1,nano-scale,fiber,oxidized,positive,high,365,barrier-impaired,normal,0.8477290659560134,0.8013330431963644,0.9776147318443232,0.916137237978915,0.8980114036362022,0.9021355404956696,0.8831927869842655,0.9211825527655184,0.8605456352213409,severe,lymphatic burden dominated,0.851080355651679,0.025871531389644077,0.030398459108838954,0.8086512923133772,0.8344206252487689,0.8519130939592865,0.869368556967233,0.8919159619106368,0.08326466959725964,0.0,0.0,0.0033333333333333335,0.9966666666666667,1.0,-0.00946527956966181,severe,severe,severe,True,low uncertainty,robust severe,19,14,26
SIM047952,EXP0072,MP0027,PET,0.05,nano-scale,fiber,oxidized,positive,high,365,barrier-impaired,high-fat,0.8113023729231443,0.8023935735353965,0.9748280896665222,0.9073216280951032,0.8912834004819878,0.9002723778258908,0.9063597077259292,0.9196554086265678,0.8599655552154287,severe,lymphatic burden dominated,0.8510391265990503,0.029441270596381394,0.03459449709909454,0.7995566278213182,0.8316402344183288,0.8546943250761725,0.871295727755601,0.8955161556249641,0.09595952780364592,0.0,0.0,0.0,1.0,1.0,-0.008926428616378379,severe,severe,severe,True,low uncertainty,robust severe,20,48,13
SIM047682,EXP0071,MP0432,PS,0.05,nano-scale,fiber,oxidized,positive,high,365,barrier-impaired,normal,0.8499133944177174,0.8021563258053257,0.977353896377765,0.9166246135167768,0.8986794748167798,0.9025413855062402,0.8834707379134595,0.9215379338956358,0.8609165535850641,severe,lymphatic burden dominated,0.8505252400582155,0.027418741202317614,0.032237422137417884,0.8056746225289532,0.8322476212711275,0.8525001320976475,0.8715384484092872,0.8918532004810159,0.08617857795206274,0.0,0.0,0.0033333333333333335,0.9966666666666667,1.0,-0.010391313526848633,severe,severe,severe,True,low uncertainty,robust severe,21,23,27
SIM048410,EXP0072,MP0485,PS,1.0,submicron-to-small,fiber,oxidized,negative,high,365,barrier-impaired,high-fat,0.7919949138656114,0.7909930098712318,0.9930550036332508,0.9002627877142672,0.8865090104669291,0.900965679763477,0.9071946064820658,0.919992588068188,0.8585088538195121,severe,lymphatic burden dominated,0.8505198083777146,0.0264251326478014,0.031069391197570993,0.8060306964190123,0.8325829214591127,0.8502346582930316,0.8702696309446936,0.8920917799981357,0.08606108357912345,0.0,0.0,0.0,1.0,1.0,-0.007989045441797571,severe,severe,severe,True,low uncertainty,robust severe,22,21,23
SIM048113,EXP0072,MP0188,PE,0.1,nano-scale,fiber,oxidized,negative,high,365,barrier-impaired,high-fat,0.7889584411285665,0.7889983614757878,1.0,0.8943179365842573,0.8854947412734742,0.9002435783779162,0.9084533095978766,0.919368476155549,0.8584342741396461,severe,lymphatic burden dominated,0.8503201258085372,0.027711279936443647,0.0325892320966312,0.8040213601961793,0.8338832157622739,0.8516893898439778,0.8717547612576726,0.892349745184411,0.0883283849882317,0.0,0.0,0.0,1.0,1.0,-0.008114148331108906,severe,severe,severe,True,low uncertainty,robust severe,23,29,21
SIM048380,EXP0072,MP0455,PS,0.1,nano-scale,fiber,UV-aged,negative,high,365,barrier-impaired,high-fat,0.7757387722475753,0.792126169478754,0.9935760039529752,0.9009394218891096,0.883946077802826,0.900953637304638,0.9081870321460722,0.9195723406909048,0.8594897494762145,severe,lymphatic burden dominated,0.8502474908006351,0.02714998488197048,0.031931861223574776,0.8017286837304902,0.834719004447306,0.8521011373577652,0.86789165322792,0.8917573780149034,0.09002869428441318,0.0,0.0,0.0,1.0,1.0,-0.009242258675579373,severe,severe,severe,True,low uncertainty,robust severe,24,37,28
SIM047681,EXP0071,MP0431,PS,0.05,nano-scale,fiber,oxidized,negative,high,365,barrier-impaired,normal,0.8244045716367447,0.7912536978481876,0.9771246511038169,0.9078103661211492,0.889654328388406,0.897321363595451,0.8784457872984625,0.9157047949511018,0.8545670637047703,severe,lymphatic burden dominated,0.8498569434651794,0.026337353805145867,0.03099033785348367,0.8052811207639994,0.8325924357875001,0.8515427415389,0.8700902926241348,0.8895998354398396,0.08431871467584018,0.0,0.0,0.0,1.0,1.0,-0.0047101202395909425,severe,severe,severe,True,low uncertainty,robust severe,25,24,37
SIM048353,EXP0072,MP0428,PS,0.05,nano-scale,fiber,UV-aged,negative,high,365,barrier-impaired,high-fat,0.7778851770062052,0.7929950835222426,0.9934154305158358,0.9014408781012958,0.884632804671256,0.901373426746754,0.908490492431655,0.919952394841784,0.8599213151179401,severe,lymphatic burden dominated,0.8496125332687986,0.02688765852507973,0.031646965495671926,0.8046721798585753,0.8322783321678462,0.8488892122948477,0.868149846546777,0.8929628407959724,0.08829066093739713,0.0,0.0,0.0,1.0,1.0,-0.010308781849141524,severe,severe,severe,True,low uncertainty,robust severe,26,27,18
SIM048518,EXP0072,MP0593,PVC,0.1,nano-scale,fiber,oxidized,negative,high,365,barrier-impaired,high-fat,0.8026162493136665,0.7959092683771541,0.9859082644980132,0.9021035815050872,0.8889384429294737,0.9014351586366636,0.9087800648734388,0.920290504838672,0.8593268662367521,severe,lymphatic burden dominated,0.849210051095056,0.029008930526807388,0.034159900120548765,0.7989838004410263,0.8293363582752171,0.8508166989903694,0.8697021338778644,0.8947838583561772,0.0958000579151509,0.0,0.0,0.0,1.0,1.0,-0.010116815141696156,severe,severe,severe,True,low uncertainty,robust severe,27,52,15
SIM048347,EXP0072,MP0422,PS,0.05,nano-scale,fragment,oxidized,negative,high,365,barrier-impaired,high-fat,0.8038105980424504,0.7930422687329176,0.9877612204692328,0.898569640726091,0.8882563414289653,0.9010337745801472,0.9088569907662348,0.9196358041430096,0.8562260004526833,severe,lymphatic burden dominated,0.8491936239365517,0.027305948935305382,0.03215515068129317,0.8016582189886784,0.8316240492739495,0.8511571985516615,0.8677342997484909,0.892280116563716,0.09062189757503758,0.0,0.0,0.0,1.0,1.0,-0.007032376516131533,severe,severe,severe,True,low uncertainty,robust severe,28,39,22
SIM048382,EXP0072,MP0457,PS,0.1,nano-scale,fiber,oxidized,neutral,high,365,barrier-impaired,high-fat,0.78402042677393,0.7906100404241978,0.9955071919704972,0.897615729396768,0.8848232602491082,0.9005456568985193,0.9081935051340158,0.9193237553231212,0.8591922844215264,severe,lymphatic burden dominated,0.8491433661522227,0.02773583754532962,0.03266331534918317,0.8011163478965339,0.8320318137278319,0.8493248312774071,0.8676529798922098,0.892422502360856,0.09130615446432211,0.0,0.0,0.0,1.0,1.0,-0.010048918269303653,severe,severe,severe,True,low uncertainty,robust severe,29,42,20
SIM048221,EXP0072,MP0296,PP,0.05,nano-scale,fiber,oxidized,negative,high,365,barrier-impaired,high-fat,0.7887968854977891,0.7882905992601219,0.9983205940835976,0.894040007050003,0.8850187501682436,0.8999560706432397,0.9082121898000588,0.9189165848129106,0.8575169823658095,severe,lymphatic burden dominated,0.848931532590142,0.0258556193986087,0.030456660408986307,0.807731634619064,0.8288366382592057,0.850519821187045,0.8666201063503675,0.8867560798187165,0.07902444519965246,0.0,0.0,0.0,1.0,1.0,-0.008585449775667553,severe,severe,severe,True,low uncertainty,robust severe,30,15,51
SIM048516,EXP0072,MP0591,PVC,0.1,nano-scale,fiber,UV-aged,positive,high,365,barrier-impaired,high-fat,0.7815929220624803,0.7919492876057898,0.9792034595398724,0.9005508398638818,0.8827078063351165,0.8965643441963904,0.9040290752034986,0.9156715395395172,0.8550234070312683,severe,lymphatic burden dominated,0.8488126817040488,0.027774174392835443,0.03272120574005114,0.7968775223641844,0.831407326910832,0.8520088342374559,0.8685961564393079,0.8891426934456274,0.09226517108144294,0.0,0.0,0.0,1.0,1.0,-0.006210725327219557,severe,severe,severe,True,low uncertainty,robust severe,31,62,40
SIM048219,EXP0072,MP0294,PP,0.05,nano-scale,fiber,UV-aged,positive,high,365,barrier-impaired,high-fat,0.7677862070747385,0.7843343854286285,0.9972831327874988,0.8930567565519595,0.8798121585077359,0.8978318000227357,0.9069169935460476,0.9166330584485796,0.8548876940064554,severe,lymphatic burden dominated,0.8483960066769928,0.027721155083776483,0.032674782608091646,0.8019781080167452,0.8326541413072119,0.8505960250690705,0.866181482687441,0.8911416770358446,0.08916356901909939,0.0,0.0,0.0033333333333333335,0.9966666666666667,1.0,-0.006491687329462592,severe,severe,severe,True,low uncertainty,robust severe,32,36,30
SIM048355,EXP0072,MP0430,PS,0.05,nano-scale,fiber,oxidized,neutral,high,365,barrier-impaired,high-fat,0.7861414213452105,0.7914704355228255,0.9953257482845264,0.8981093545689192,0.8854981426362161,0.900959073836168,0.9084935469241264,0.9196950261416386,0.8596154663140717,severe,lymphatic burden dominated,0.848387182586523,0.027344283096529746,0.03223090077001346,0.8014640244688545,0.8287561413535253,0.8508674212556311,0.8675532765888168,0.891948146421997,0.0904841219531426,0.0,0.0,0.0,1.0,1.0,-0.011228283727548694,severe,severe,severe,True,low uncertainty,robust severe,33,41,25
SIM048374,EXP0072,MP0449,PS,0.1,nano-scale,fragment,oxidized,negative,high,365,barrier-impaired,high-fat,0.8020623553643602,0.7923747654694995,0.9882669357663192,0.8982074040732696,0.8877732323822989,0.9009102471432824,0.9086638455022504,0.9194676601198056,0.8560115001165784,severe,lymphatic burden dominated,0.848331177950667,0.02890573022461598,0.03407363889938613,0.7949448387273069,0.8304939680921826,0.8511301286737524,0.8686343004634453,0.8901644845683598,0.09521964584105291,0.0,0.0,0.0,1.0,1.0,-0.007680322165911413,severe,severe,severe,True,low uncertainty,robust severe,34,72,35
SIM047978,EXP0072,MP0053,PET,0.1,nano-scale,fiber,oxidized,negative,high,365,barrier-impaired,high-fat,0.7836662493136667,0.7906031249851573,0.9738315976316342,0.8979119830640837,0.8814050996747769,0.8940808525801525,0.9006842260741745,0.9130629375616212,0.8528900888166786,severe,lymphatic burden dominated,0.8482556632600208,0.026322369982347882,0.031031175060069242,0.8063786050362391,0.8291621186331825,0.850040439933831,0.8663760012381819,0.8887120527888435,0.08233344775260432,0.0,0.0,0.0,1.0,1.0,-0.0046344255566578285,severe,severe,severe,True,low uncertainty,robust severe,35,18,42
SIM048248,EXP0072,MP0323,PP,0.1,nano-scale,fiber,oxidized,negative,high,365,barrier-impaired,high-fat,0.7867334411285665,0.7874285652724919,0.9984277468027788,0.8935474317701771,0.8843442640977666,0.8995427927585424,0.90791164845896,0.918537277115796,0.8570715085744438,severe,lymphatic burden dominated,0.8476228415353404,0.025664121907420814,0.030277761110004853,0.8062113227856111,0.8325061844960377,0.8481908501180353,0.8638504353715211,0.890798445432394,0.08458712264678281,0.0,0.0,0.0,1.0,1.0,-0.009448667039103409,severe,severe,severe,True,low uncertainty,robust severe,36,20,32
SIM048402,EXP0072,MP0477,PS,1.0,submicron-to-small,fragment,oxidized,positive,high,365,barrier-impaired,high-fat,0.7998017962974382,0.789037086882601,0.9875050330169874,0.8973890914581472,0.8862657310110432,0.8993331295764164,0.9069291266234528,0.9183024254983996,0.8536540203804489,severe,lymphatic burden dominated,0.8468895298199512,0.02745942100259925,0.03242385226843541,0.8025600023199617,0.8278023612659419,0.8475370688788948,0.867288662400928,0.891041002429702,0.08848100010974025,0.0,0.0,0.0,1.0,1.0,-0.00676449056049766,severe,severe,severe,True,low uncertainty,robust severe,37,33,31
SIM048546,EXP0072,MP0621,PVC,1.0,submicron-to-small,fiber,oxidized,positive,high,365,barrier-impaired,high-fat,0.7978878166606986,0.7908170891447229,0.9819962971898508,0.9002117458931232,0.88587695004825,0.898176511511099,0.9041618442028212,0.917324001968546,0.8549711610507993,severe,lymphatic burden dominated,0.8464822526025919,0.02664184227542096,0.03147359816874666,0.798151493451206,0.8301905238639391,0.8490953464470314,0.8650520634428964,0.8865201400541206,0.08836864660291466,0.0,0.0,0.0,1.0,1.0,-0.008488908448207377,severe,severe,severe,True,low uncertainty,robust severe,38,54,52
SIM047708,EXP0071,MP0458,PS,0.1,nano-scale,fiber,oxidized,negative,high,365,barrier-impaired,normal,0.8222455001793612,0.7904153837355458,0.977344206007016,0.9073194862300106,0.8889817591128063,0.8969116871579924,0.8781229833364766,0.9153357311153922,0.8541713621175723,severe,lymphatic burden dominated,0.8464012099993664,0.026769750975692633,0.031627732403266585,0.8049734014837137,0.8273781915736961,0.8456111404183558,0.8648993736937423,0.8886646197033705,0.08369121821965686,0.0,0.0,0.0033333333333333335,0.9966666666666667,1.0,-0.007770152118205864,severe,severe,severe,True,low uncertainty,robust severe,39,25,43
SIM048084,EXP0072,MP0159,PE,0.05,nano-scale,fiber,UV-aged,positive,high,365,barrier-impaired,high-fat,0.7700112070747386,0.7859028664981426,0.99926421864929,0.8938678600106202,0.8810359397665595,0.8985645887350588,0.90746471710048,0.9175462423393752,0.8563330924927407,severe,lymphatic burden dominated,0.8461359373218587,0.026269516150537714,0.03104644891180659,0.7998066607761968,0.8307888336196437,0.845530568721788,0.8644306200683027,0.8864813867103962,0.08667472593419945,0.0,0.0,0.0,1.0,1.0,-0.010197155170882044,severe,severe,severe,True,low uncertainty,robust severe,40,46,53
SIM048141,EXP0072,MP0216,PE,1.0,submicron-to-small,fiber,oxidized,positive,high,365,barrier-impaired,high-fat,0.7846240380924281,0.7837957028663974,0.998220988963486,0.8926759682439622,0.882889880571533,0.8981350839298423,0.9061365286186962,0.917494346781892,0.8546478057663007,severe,lymphatic burden dominated,0.8455248374966363,0.02787243199688974,0.032964651966202775,0.7954111606270735,0.8285495880136413,0.8461906044956813,0.8641769814874641,0.8889102680084957,0.0934991073814222,0.0,0.0,0.0,1.0,1.0,-0.009122968269664411,severe,severe,severe,True,low uncertainty,robust severe,41,66,41
SIM048489,EXP0072,MP0564,PVC,0.05,nano-scale,fiber,UV-aged,positive,high,365,barrier-impaired,high-fat,0.7837329838879331,0.7928178143623958,0.9786859011207404,0.901015540151442,0.8833286349651883,0.8967713813314829,0.904332364270316,0.9159246884403603,0.8553549771285816,severe,lymphatic burden dominated,0.8454462436188556,0.02517495952119996,0.029777126235029518,0.803885610230483,0.8267590049722702,0.8462459598405487,0.8614749842407967,0.887665363589339,0.08377975335885601,0.0,0.0,0.0,1.0,1.0,-0.009908733509725987,severe,severe,severe,True,low uncertainty,robust severe,42,30,47
SIM048246,EXP0072,MP0321,PP,0.1,nano-scale,fiber,UV-aged,positive,high,365,barrier-impaired,high-fat,0.7657099283681513,0.7834564114435483,0.9973852890248516,0.8925582618733302,0.8791301590939316,0.8974131339169513,0.906611299008404,0.916248490266814,0.8544300009784607,severe,lymphatic burden dominated,0.8454223145751769,0.026267055219274624,0.03106974439448372,0.8017004423899263,0.829234925687936,0.8463484109321507,0.8622605893814739,0.8869989698611151,0.08529852747118882,0.0,0.0,0.0,1.0,1.0,-0.009007686403283754,severe,severe,severe,True,low uncertainty,robust severe,43,38,50
SIM048408,EXP0072,MP0483,PS,1.0,submicron-to-small,fiber,UV-aged,positive,high,365,barrier-impaired,high-fat,0.7692394924031027,0.7864061870108175,0.9912615187961676,0.8988722811960418,0.8806357913817511,0.898501531757158,0.9057112611179466,0.91727642143343,0.8553405349029487,severe,lymphatic burden dominated,0.844846926300298,0.026900168860976143,0.031840287303575666,0.7981011815921422,0.8279796272817237,0.844476884106824,0.862913429190216,0.8897370308371864,0.0916358492450442,0.0,0.0,0.0,1.0,1.0,-0.010493608602650695,severe,severe,severe,True,low uncertainty,robust severe,44,56,36
