exposure_scenario_id,particle_id,polymer,size_um,size_class,shape,aging,charge,dose_level,duration_days,gut_status,diet_state,surface_score,particle_hazard_potential,mucus_retention,P_Mcell,gut_to_lymph_translocation,MLN_retention,macrophage_uptake_potential,systemic_spillover_potential,interaction_risk_proxy
EXP0071,MP0459,PS,0.1,nano-scale,fiber,oxidized,positive,high,365,barrier-impaired,normal,0.8618000000000001,0.8477290659560134,0.5640966317249103,0.8478630793434118,0.7064482501480055,0.7694344750444015,0.8409384347111057,0.7186030991008033,0.8013330431963644
EXP0060,MP0432,PS,0.05,nano-scale,fiber,oxidized,positive,high,90,barrier-impaired,high-fat,0.8618000000000001,0.8499133944177174,0.5788326132677135,0.8560248996687262,0.7338439925541606,0.7776531977662482,0.8446175673397175,0.7614147547206318,0.800916013388576
EXP0072,MP0162,PE,0.05,nano-scale,fiber,oxidized,positive,high,365,barrier-impaired,high-fat,0.8368000000000001,0.8165305399351886,0.6108987409807832,0.840389643475661,0.7318166412388549,0.7470449923716564,0.7995626865643795,0.7737962862272344,0.800808379562932
EXP0060,MP0459,PS,0.1,nano-scale,fiber,oxidized,positive,high,90,barrier-impaired,high-fat,0.8618000000000001,0.8477290659560134,0.586922718681432,0.8478630793434118,0.7330134675393098,0.777404040261793,0.8433293042763231,0.7605789570013146,0.800092730779615
EXP0072,MP0189,PE,0.1,nano-scale,fiber,oxidized,positive,high,365,barrier-impaired,high-fat,0.8368000000000001,0.8144414529037053,0.6186361003566475,0.8319109069026723,0.7308204921421313,0.7467461476426394,0.7983124292392947,0.7729353708776713,0.7999622391689386
EXP0072,MP0297,PP,0.05,nano-scale,fiber,oxidized,positive,high,365,barrier-impaired,high-fat,0.8318000000000001,0.8143055399351886,0.5973987409807833,0.8398523731044828,0.7282054601275015,0.7459616380382506,0.7984251802643577,0.7721698759882715,0.799242164741417
EXP0066,MP0431,PS,0.05,nano-scale,fiber,oxidized,negative,high,180,barrier-impaired,high-fat,0.8338000000000001,0.8244045716367447,0.5731171420861305,0.8498190907430585,0.7266391556401437,0.7674917466920432,0.8210364526946934,0.7651406525182819,0.7988310234767709
EXP0066,MP0567,PVC,0.05,nano-scale,fiber,oxidized,positive,high,180,barrier-impaired,high-fat,0.8368,0.8302523729231442,0.5486882484327988,0.8492606565857296,0.7220358466622786,0.7641107539986836,0.8258889889346853,0.762763723623073,0.7986561771091157
EXP0072,MP0324,PP,0.1,nano-scale,fiber,oxidized,positive,high,365,barrier-impaired,high-fat,0.8318000000000001,0.8122164529037053,0.6051361003566474,0.8313508234587185,0.7272024671089451,0.7456607401326836,0.7971743069863081,0.7713068732425495,0.7983940320817782
EXP0066,MP0458,PS,0.1,nano-scale,fiber,oxidized,negative,high,180,barrier-impaired,high-fat,0.8338000000000001,0.8222455001793612,0.5811137030394027,0.8414705153391873,0.7257338952096367,0.767220168562891,0.8197554951129569,0.7642887956983416,0.7979927093641289
EXP0066,MP0594,PVC,0.1,nano-scale,fiber,oxidized,positive,high,180,barrier-impaired,high-fat,0.8368,0.8280996316238466,0.5566613643561242,0.84091194330808,0.7211258558636487,0.7638377567590946,0.8246111223743098,0.7619121120830116,0.7978181712150659
EXP0072,MP0566,PVC,0.05,nano-scale,fiber,oxidized,negative,high,365,barrier-impaired,high-fat,0.8088,0.8047436060554244,0.5429725701650947,0.8428170420940394,0.7147596266612307,0.7539278879983693,0.8023014808747466,0.7666313810797886,0.7967619877776173
EXP0070,MP0432,PS,0.05,nano-scale,fiber,oxidized,positive,high,365,inflamed,high-fat,0.8618000000000001,0.8499133944177174,0.6288326132677134,0.8337802394006498,0.7091705944737375,0.7352511783421212,0.8118969615124794,0.7741530031592145,0.7966312286096218
EXP0072,MP0593,PVC,0.1,nano-scale,fiber,oxidized,negative,high,365,barrier-impaired,high-fat,0.8088,0.8026162493136665,0.5508516692086421,0.8342851411719245,0.7137758761933057,0.7536327628579917,0.8010310784761012,0.7657640420559361,0.7959092683771541
EXP0070,MP0459,PS,0.1,nano-scale,fiber,oxidized,positive,high,365,inflamed,high-fat,0.8618000000000001,0.8477290659560134,0.636922718681432,0.8246157516544792,0.7080392692326302,0.7349117807697889,0.8105816264287219,0.7732254613708891,0.7957203830547973
EXP0066,MP0423,PS,0.05,nano-scale,fragment,oxidized,positive,high,180,barrier-impaired,high-fat,0.8618,0.8293256758995281,0.5394723114832297,0.8587008711958417,0.7267747236553984,0.7400324170966196,0.8232353784065015,0.7648276285663435,0.7949097057497481
EXP0066,MP0429,PS,0.05,nano-scale,fiber,UV-aged,positive,high,180,barrier-impaired,high-fat,0.7908000000000002,0.8033939774459169,0.5645748983484564,0.8471370621217593,0.7176760983062191,0.7688028294918658,0.8261836140952914,0.7619977615805474,0.7948957259667294
EXP0066,MP0450,PS,0.1,nano-scale,fragment,oxidized,positive,high,180,barrier-impaired,high-fat,0.8618,0.8275563796567434,0.5460252605305799,0.8522197339689488,0.7261409722968006,0.7398422916890403,0.8221953984271252,0.764162522070562,0.7942541947517366
EXP0066,MP0456,PS,0.1,nano-scale,fiber,UV-aged,positive,high,180,barrier-impaired,high-fat,0.7908000000000002,0.8012222647805068,0.5726182785907157,0.838617011743743,0.7167287592412661,0.7685186277723799,0.8248918465431068,0.761129699788294,0.794041797393108
EXP0066,MP0027,PET,0.05,nano-scale,fiber,oxidized,positive,high,180,barrier-impaired,high-fat,0.8168000000000001,0.8113023729231443,0.5321882484327989,0.8472009184585904,0.7151179252241369,0.762035377567241,0.8220163760052525,0.7599037575844397,0.7933643701784726
EXP0065,MP0432,PS,0.05,nano-scale,fiber,oxidized,positive,high,180,barrier-impaired,normal,0.8618000000000001,0.8499133944177174,0.5560065263111917,0.8560248996687262,0.7072787751628562,0.769683632548857,0.8422266977745001,0.7124603210983599,0.7931271224484018
EXP0066,MP0486,PS,1.0,submicron-to-small,fiber,oxidized,positive,high,180,barrier-impaired,high-fat,0.8522,0.8173245789978065,0.6648637814896053,0.7394996777377885,0.7146526596192576,0.7638957978857774,0.8172376721422924,0.7554199731948615,0.793066284444769
EXP0072,MP0422,PS,0.05,nano-scale,fragment,oxidized,negative,high,365,barrier-impaired,high-fat,0.8338000000000002,0.8038105980424504,0.5337800072501843,0.8525672487341699,0.7195961760702878,0.7298788528210864,0.7996531547587984,0.7687233931794245,0.7930422687329176
EXP0072,MP0428,PS,0.05,nano-scale,fiber,UV-aged,negative,high,365,barrier-impaired,high-fat,0.7628000000000001,0.7778851770062052,0.5588593444214625,0.8406195736521211,0.7103777409799288,0.7586133222939788,0.8025940950249743,0.765858658200533,0.7929950835222426
EXP0072,MP0558,PVC,0.05,nano-scale,fragment,oxidized,positive,high,365,barrier-impaired,high-fat,0.8368000000000002,0.8096568330387597,0.509356914671261,0.8520114024434305,0.7149948036672813,0.7264984411001845,0.8045049951293664,0.76634663726219,0.7928675691209754
EXP0072,MP0564,PVC,0.05,nano-scale,fiber,UV-aged,positive,high,365,barrier-impaired,high-fat,0.7658,0.7837329838879331,0.5344304300446924,0.840033393299053,0.7057661039986544,0.7552298311995964,0.8074458848531751,0.7634791907563717,0.7928178143623958
EXP0066,MP0054,PET,0.1,nano-scale,fiber,oxidized,positive,high,180,barrier-impaired,high-fat,0.8168000000000001,0.8091496316238465,0.5401613643561243,0.8387597853282819,0.7141802084697094,0.7617540625409129,0.8207360141088552,0.75904368962786,0.7925182932586903
EXP0072,MP0449,PS,0.1,nano-scale,fragment,oxidized,negative,high,365,barrier-impaired,high-fat,0.8338000000000002,0.8020623553643602,0.5402549801319998,0.8459365933596996,0.7189019740343099,0.7296705922102931,0.798619430643288,0.7680454635109605,0.7923747654694995
EXP0065,MP0459,PS,0.1,nano-scale,fiber,oxidized,positive,high,180,barrier-impaired,normal,0.8618000000000001,0.8477290659560134,0.5640966317249103,0.8478630793434118,0.7064482501480055,0.7694344750444015,0.8409384347111057,0.7116245233790427,0.7923038398394406
EXP0072,MP0585,PVC,0.1,nano-scale,fragment,oxidized,positive,high,365,barrier-impaired,high-fat,0.8368000000000002,0.8079138644788049,0.5158123537822048,0.8453807101895575,0.7142966838133082,0.7262890051439925,0.803473848475867,0.7656689190907403,0.7922003294681892
EXP0072,MP0455,PS,0.1,nano-scale,fiber,UV-aged,negative,high,365,barrier-impaired,high-fat,0.7628000000000001,0.7757387722475753,0.5668089916756474,0.8319132658312539,0.7093557780845057,0.7583067334253517,0.8013096712762585,0.7649745849151276,0.792126169478754
EXP0072,MP0591,PVC,0.1,nano-scale,fiber,UV-aged,positive,high,365,barrier-impaired,high-fat,0.7658,0.7815929220624803,0.5423565849537767,0.831327845600119,0.704739670670791,0.7549219012012374,0.8061645826173047,0.7625954454379192,0.7919492876057898
EXP0066,MP0162,PE,0.05,nano-scale,fiber,oxidized,positive,high,180,barrier-impaired,high-fat,0.8368000000000001,0.8165305399351886,0.6108987409807832,0.840389643475661,0.7318166412388549,0.7470449923716564,0.7995626865643795,0.7668177105054738,0.791779176206008
EXP0072,MP0430,PS,0.05,nano-scale,fiber,oxidized,neutral,high,365,barrier-impaired,high-fat,0.7918000000000001,0.7861414213452105,0.564543624647369,0.840099824063992,0.7157086721486714,0.7522126016446016,0.7856537367962753,0.7674479240307343,0.7914704355228255
EXP0072,MP0026,PET,0.05,nano-scale,fiber,oxidized,negative,high,365,barrier-impaired,high-fat,0.7888000000000001,0.7857936060554244,0.5264725701650947,0.840685773788964,0.7078202461697081,0.7518460738509125,0.7984269366305097,0.7637648700298741,0.791463934116535
EXP0071,MP0567,PVC,0.05,nano-scale,fiber,oxidized,positive,high,365,barrier-impaired,normal,0.8368,0.8302523729231442,0.5291230310414945,0.8492606565857296,0.6961228031840178,0.7563368409552054,0.8235568150216418,0.7141717196346885,0.7912686993066195
EXP0071,MP0431,PS,0.05,nano-scale,fiber,oxidized,negative,high,365,barrier-impaired,normal,0.8338000000000001,0.8244045716367447,0.5502910551296089,0.8498190907430585,0.7000739382488393,0.7595221814746518,0.8186455831294761,0.7163497354864193,0.7912536978481876
EXP0072,MP0485,PS,1.0,submicron-to-small,fiber,oxidized,negative,high,365,barrier-impaired,high-fat,0.8241999999999999,0.7919949138656114,0.6584847634606986,0.7309016322009046,0.7065974423524112,0.7534792327057234,0.7936795552926121,0.7590977969483151,0.7909930098712318
EXP0066,MP0189,PE,0.1,nano-scale,fiber,oxidized,positive,high,180,barrier-impaired,high-fat,0.8368000000000001,0.8144414529037053,0.6186361003566475,0.8319109069026723,0.7308204921421313,0.7467461476426394,0.7983124292392947,0.7659567951559109,0.7909330358120147
EXP0072,MP0621,PVC,1.0,submicron-to-small,fiber,oxidized,positive,high,365,barrier-impaired,high-fat,0.8271999999999999,0.7978878166606986,0.6338888271825976,0.7303047672510847,0.7019491956118449,0.7500847586835535,0.7985531035276764,0.7567191891044657,0.7908170891447229
EXP0072,MP0457,PS,0.1,nano-scale,fiber,oxidized,neutral,high,365,barrier-impaired,high-fat,0.7918000000000001,0.78402042677393,0.5723991600965556,0.8314763443389072,0.7146927353209833,0.751907820596295,0.7843839721644053,0.7665724647459479,0.7906100404241978
EXP0072,MP0053,PET,0.1,nano-scale,fiber,oxidized,negative,high,365,barrier-impaired,high-fat,0.7888000000000001,0.7836662493136667,0.5343516692086422,0.8320612388245431,0.7068087054890914,0.7515426116467274,0.797154033112722,0.7628890549911506,0.7906031249851573
EXP0071,MP0594,PVC,0.1,nano-scale,fiber,oxidized,positive,high,365,barrier-impaired,normal,0.8368,0.8280996316238466,0.5370961469648199,0.84091194330808,0.6952128123853879,0.7560638437156164,0.8222789484612664,0.7133201080946271,0.7904306934125697
EXP0071,MP0458,PS,0.1,nano-scale,fiber,oxidized,negative,high,365,barrier-impaired,normal,0.8338000000000001,0.8222455001793612,0.558287616082881,0.8414705153391873,0.6991686778183324,0.7592506033454998,0.8173646255477396,0.7154978786664791,0.7904153837355458
EXP0066,MP0297,PP,0.05,nano-scale,fiber,oxidized,positive,high,180,barrier-impaired,high-fat,0.8318000000000001,0.8143055399351886,0.5973987409807833,0.8398523731044828,0.7282054601275015,0.7459616380382506,0.7984251802643577,0.765191300266511,0.790212961384493
EXP0060,MP0431,PS,0.05,nano-scale,fiber,oxidized,negative,high,90,barrier-impaired,high-fat,0.8338000000000001,0.8244045716367447,0.5731171420861305,0.8498190907430585,0.7266391556401437,0.7674917466920432,0.8210364526946934,0.7583255933869306,0.7900133854314381
EXP0072,MP0161,PE,0.05,nano-scale,fiber,oxidized,negative,high,365,barrier-impaired,high-fat,0.8088000000000001,0.7910218854977893,0.6051826463044844,0.8336415657329356,0.7244489989807775,0.7368346996942332,0.7759670129625973,0.7706575141552142,0.789858403786938
EXP0060,MP0567,PVC,0.05,nano-scale,fiber,oxidized,positive,high,90,barrier-impaired,high-fat,0.8368,0.8302523729231442,0.5486882484327988,0.8492606565857296,0.7220358466622786,0.7641107539986836,0.8258889889346853,0.7559486644917217,0.7898385390637829
EXP0066,MP0324,PP,0.1,nano-scale,fiber,oxidized,positive,high,180,barrier-impaired,high-fat,0.8318000000000001,0.8122164529037053,0.6051361003566474,0.8313508234587185,0.7272024671089451,0.7456607401326836,0.7971743069863081,0.7643282975207891,0.7893648287248541
EXP0060,MP0458,PS,0.1,nano-scale,fiber,oxidized,negative,high,90,barrier-impaired,high-fat,0.8338000000000001,0.8222455001793612,0.5811137030394027,0.8414705153391873,0.7257338952096367,0.767220168562891,0.8197554951129569,0.7574737365669906,0.789175071318796
EXP0072,MP0420,PS,0.05,nano-scale,fragment,UV-aged,positive,high,365,barrier-impaired,high-fat,0.7908000000000001,0.7828031334045691,0.5252261725756706,0.8499374586767053,0.7106464721181458,0.7311939416354437,0.8048032566042826,0.7655854095705862,0.7891116915488531
EXP0072,MP0477,PS,1.0,submicron-to-small,fragment,oxidized,positive,high,365,barrier-impaired,high-fat,0.8522000000000001,0.7998017962974382,0.6141518655650435,0.7606169834675306,0.7108454681532679,0.7272536404459804,0.7978518122990377,0.7608086134660635,0.789037086882601
EXP0060,MP0594,PVC,0.1,nano-scale,fiber,oxidized,positive,high,90,barrier-impaired,high-fat,0.8368,0.8280996316238466,0.5566613643561242,0.84091194330808,0.7211258558636487,0.7638377567590946,0.8246111223743098,0.7550970529516603,0.7890005331697331
EXP0072,MP0188,PE,0.1,nano-scale,fiber,oxidized,negative,high,365,barrier-impaired,high-fat,0.8088000000000001,0.7889584411285665,0.6128250328571615,0.8249887853500142,0.7233816421764365,0.736514492652931,0.774724592867305,0.7697817184980974,0.7889983614757878
EXP0072,MP0447,PS,0.1,nano-scale,fragment,UV-aged,positive,high,365,barrier-impaired,high-fat,0.7908000000000001,0.781044355373351,0.5317401652838849,0.8431690076406205,0.7099187353489631,0.730975620604689,0.8037606613888241,0.7648944423809941,0.7884316215794775
EXP0072,MP0296,PP,0.05,nano-scale,fiber,oxidized,negative,high,365,barrier-impaired,high-fat,0.8038000000000001,0.7887968854977891,0.5916826463044844,0.8330860919345147,0.7208323568412514,0.7357497070523755,0.77482901517004,0.7690294383026587,0.7882905992601219
EXP0066,MP0566,PVC,0.05,nano-scale,fiber,oxidized,negative,high,180,barrier-impaired,high-fat,0.8088,0.8047436060554244,0.5429725701650947,0.8428170420940394,0.7147596266612307,0.7539278879983693,0.8023014808747466,0.7596528053580281,0.7877327844206933
EXP0064,MP0432,PS,0.05,nano-scale,fiber,oxidized,positive,high,180,inflamed,high-fat,0.8618000000000001,0.8499133944177174,0.6288326132677134,0.8337802394006498,0.7091705944737375,0.7352511783421212,0.8118969615124794,0.7671744274374541,0.7876020252526978
EXP0072,MP0018,PET,0.05,nano-scale,fragment,oxidized,positive,high,365,barrier-impaired,high-fat,0.8168000000000002,0.7907068330387597,0.492856914671261,0.8499826116434028,0.7080861664272731,0.7244258499281819,0.8006332177777655,0.7634895029039875,0.7875784648204089
EXP0072,MP0024,PET,0.05,nano-scale,fiber,UV-aged,positive,high,365,barrier-impaired,high-fat,0.7458000000000001,0.7647829838879332,0.5179304300446924,0.8378716416692855,0.6988175785097241,0.7531452735529174,0.8035705175591714,0.7606098904822481,0.7875170985925682
EXP0072,MP0323,PP,0.1,nano-scale,fiber,oxidized,negative,high,365,barrier-impaired,high-fat,0.8038000000000001,0.7867334411285665,0.5993250328571615,0.8244105052252457,0.719758158139006,0.735427447441702,0.7735859793039364,0.7681515558666813,0.7874285652724919
EXP0071,MP0423,PS,0.05,nano-scale,fragment,oxidized,positive,high,365,barrier-impaired,normal,0.8618,0.8293256758995281,0.5166462245267079,0.8587008711958417,0.7002095062640941,0.7320628518792281,0.8208445088412841,0.7160367115344807,0.7873323801211647
EXP0071,MP0429,PS,0.05,nano-scale,fiber,UV-aged,positive,high,365,barrier-impaired,normal,0.7908000000000002,0.8033939774459169,0.5417488113919348,0.8471370621217593,0.6911108809149148,0.7608332642744746,0.8237927445300739,0.7132068445486849,0.7873184003381463
EXP0054,MP0432,PS,0.05,nano-scale,fiber,oxidized,positive,high,30,barrier-impaired,high-fat,0.8618000000000001,0.8499133944177174,0.5788326132677135,0.8560248996687262,0.7338439925541606,0.7776531977662482,0.8446175673397175,0.7507420555860995,0.7871071826622043
EXP0072,MP0045,PET,0.1,nano-scale,fragment,oxidized,positive,high,365,barrier-impaired,high-fat,0.8168000000000002,0.788963864478805,0.49931235378220484,0.8432777392024754,0.7073657925171837,0.7242097377551552,0.7996000682592159,0.7628049972454222,0.7869047470118873
EXP0066,MP0593,PVC,0.1,nano-scale,fiber,oxidized,negative,high,180,barrier-impaired,high-fat,0.8088,0.8026162493136665,0.5508516692086421,0.8342851411719245,0.7137758761933057,0.7536327628579917,0.8010310784761012,0.7587854663341754,0.7868800650202301
EXP0064,MP0459,PS,0.1,nano-scale,fiber,oxidized,positive,high,180,inflamed,high-fat,0.8618000000000001,0.8477290659560134,0.636922718681432,0.8246157516544792,0.7080392692326302,0.7349117807697889,0.8105816264287219,0.7662468856491286,0.7866911796978733
EXP0071,MP0450,PS,0.1,nano-scale,fragment,oxidized,positive,high,365,barrier-impaired,normal,0.8618,0.8275563796567434,0.5231991735740581,0.8522197339689488,0.6995757549054963,0.7318727264716488,0.8198045288619077,0.7153716050386992,0.7866768691231533
EXP0072,MP0051,PET,0.1,nano-scale,fiber,UV-aged,positive,high,365,barrier-impaired,high-fat,0.7458000000000001,0.7626429220624804,0.5258565849537767,0.8290723872381202,0.6977630331621915,0.7528289099486576,0.8022866852415308,0.7597175709977965,0.7866403884270365
EXP0071,MP0456,PS,0.1,nano-scale,fiber,UV-aged,positive,high,365,barrier-impaired,normal,0.7908000000000002,0.8012222647805068,0.549792191634194,0.838617011743743,0.6901635418499618,0.7605490625549887,0.8225009769778893,0.7123387827564315,0.7864644717645247
EXP0072,MP0483,PS,1.0,submicron-to-small,fiber,UV-aged,positive,high,365,barrier-impaired,high-fat,0.7787000000000001,0.7692394924031027,0.6497752133218416,0.7258520522706275,0.6965156583455566,0.754454697503667,0.7982698772528238,0.7555522404362222,0.7864061870108175
EXP0054,MP0459,PS,0.1,nano-scale,fiber,oxidized,positive,high,30,barrier-impaired,high-fat,0.8618000000000001,0.8477290659560134,0.586922718681432,0.8478630793434118,0.7330134675393098,0.777404040261793,0.8433293042763231,0.7499062578667823,0.7862839000532429
EXP0060,MP0423,PS,0.05,nano-scale,fragment,oxidized,positive,high,90,barrier-impaired,high-fat,0.8618,0.8293256758995281,0.5394723114832297,0.8587008711958417,0.7267747236553984,0.7400324170966196,0.8232353784065015,0.7580125694349922,0.7860920677044151
EXP0060,MP0429,PS,0.05,nano-scale,fiber,UV-aged,positive,high,90,barrier-impaired,high-fat,0.7908000000000002,0.8033939774459169,0.5645748983484564,0.8471370621217593,0.7176760983062191,0.7688028294918658,0.8261836140952914,0.7551827024491962,0.7860780879213966
EXP0071,MP0027,PET,0.05,nano-scale,fiber,oxidized,positive,high,365,barrier-impaired,normal,0.8168000000000001,0.8113023729231443,0.5142534658241031,0.8472009184585904,0.6895309687023977,0.7543592906107195,0.819713549918296,0.7114112101177944,0.7860718162890199
EXP0072,MP0153,PE,0.05,nano-scale,fragment,oxidized,positive,high,365,barrier-impaired,high-fat,0.8368000000000002,0.7959192814162508,0.5716256243842571,0.8432108326370966,0.7248083746679805,0.7094425124003942,0.7781729100624797,0.7704064293180676,0.7859959247851088
EXP0072,MP0159,PE,0.05,nano-scale,fiber,UV-aged,positive,high,365,barrier-impaired,high-fat,0.7658000000000001,0.7700112070747386,0.5966407145380058,0.8307278238718843,0.7154164900691665,0.73812494702075,0.7811078769255242,0.7674934180243594,0.7859028664981426
EXP0070,MP0431,PS,0.05,nano-scale,fiber,oxidized,negative,high,365,inflamed,high-fat,0.8338000000000001,0.8244045716367447,0.6231171420861304,0.8268095988373567,0.7017363080684331,0.7250208924205299,0.7882951964132394,0.7709938597306707,0.7856618079055698
EXP0071,MP0486,PS,1.0,submicron-to-small,fiber,oxidized,positive,high,365,barrier-impaired,normal,0.8522,0.8173245789978065,0.6420376945330837,0.7394996777377885,0.6880874422279533,0.755926232668386,0.8148468025770751,0.7066290561629988,0.7854889588161857
EXP0070,MP0567,PVC,0.05,nano-scale,fiber,oxidized,positive,high,365,inflamed,high-fat,0.8368,0.8302523729231442,0.5986882484327988,0.8261831056276582,0.6971125813748571,0.7216337744124572,0.7931458950588174,0.7686107034321699,0.7854810179408713
EXP0060,MP0450,PS,0.1,nano-scale,fragment,oxidized,positive,high,90,barrier-impaired,high-fat,0.8618,0.8275563796567434,0.5460252605305799,0.8522197339689488,0.7261409722968006,0.7398422916890403,0.8221953984271252,0.7573474629392107,0.7854365567064038
EXP0072,MP0081,PET,1.0,submicron-to-small,fiber,oxidized,positive,high,365,barrier-impaired,high-fat,0.8071999999999999,0.7789378166606986,0.6173888271825977,0.7271418242463711,0.6947003127104309,0.7479100938131293,0.7946507040665493,0.7537582798195345,0.7854289393321213
EXP0072,MP0180,PE,0.1,nano-scale,fragment,oxidized,positive,high,365,barrier-impaired,high-fat,0.8368000000000002,0.7942292915226372,0.5778848462124552,0.8364764335792076,0.7240398993162533,0.7092119697948761,0.7771648640065945,0.7697213803641604,0.78532230874521
EXP0071,MP0054,PET,0.1,nano-scale,fiber,oxidized,positive,high,365,barrier-impaired,normal,0.8168000000000001,0.8091496316238465,0.5222265817474286,0.8387597853282819,0.6885932519479703,0.7540779755843912,0.8184331880218987,0.7105511421612146,0.7852257393692375
